DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--11-16-26,5,0.3929275,0.1569228,-0.03212269,-0.3319564,-0.1266677,-0.2613745,0.07297688,0.5221123,-0.125252,0.1646346,0.8839489,-0.02144257,0.4371155,-0.3563753,0.8007132,-0.2314541,-0.4222372,0.1150476,0.836998,-0.4827847,0.2304721,0.1821762,-0.1716968,0.1973972,0.09662044,0.3459118,0.1460867,0.1325546,-0.004691692,0.04586375,0.3072932,-0.007501782,0.2182577,0.3034785,0.07112248,-0.5091946,-0.5275595,0.05368181,-0.0334638,1
2017-28-4--11-16-26,5,0.4371697,0.1469117,-0.06387611,-0.2743497,-0.1210489,-0.2726234,0.1225116,0.5156313,-0.1373473,0.1775115,0.8909607,-0.01710511,0.4175957,-0.3655116,0.8007711,-0.2441001,-0.4069179,0.1266305,0.8402234,-0.4811425,0.2156183,0.247315,-0.1160607,0.1897125,0.1017988,0.3284731,0.1369081,0.1818902,0.05232429,0.04365778,0.3066826,-0.02049585,0.2060622,0.3316044,0.1524226,-0.5122302,-0.5140828,0.04994559,-0.1066663,1
2017-28-4--11-16-26,5,0.4517544,0.1323296,-0.119816,-0.2772163,-0.1020213,-0.2795317,0.1362927,0.5292042,-0.1710124,0.2482653,0.8804997,-0.01022222,0.4037079,-0.3770476,0.7797248,-0.2238088,-0.4469607,0.1156538,0.8809634,-0.4368191,0.1404163,0.2760314,-0.08904678,0.1831208,0.1110411,0.2900514,0.127472,0.2058012,0.0928539,0.04282188,0.3081489,-0.04787429,0.1884543,0.3427488,0.165175,-0.5155792,-0.5087584,0.02766926,-0.1249431,1
2017-28-4--11-16-26,5,0.4791811,0.1254373,-0.172464,-0.2559078,-0.00102675,-0.2968921,0.139503,0.536742,-0.1971478,0.3081823,0.8714774,-0.007180732,0.3814438,-0.4589351,0.7748054,-0.1485472,-0.4086429,0.09972058,0.903892,-0.4154137,0.02159779,0.3398572,-0.05379157,0.1893775,0.129096,0.2570629,0.1515526,0.2099821,0.1475178,0.04071665,0.307394,-0.07656863,0.1708228,0.3517333,0.1273342,-0.5192753,-0.5079141,-0.01772583,-0.130697,1
2017-28-4--11-16-27,5,0.4848229,0.05651414,-0.2399055,-0.2894856,0.04378009,-0.2371748,0.1293781,0.5522064,-0.2231477,0.3570993,0.8259618,-0.0865696,0.4275196,-0.4968485,0.6915064,-0.07766297,-0.5185836,0.08113614,0.9142607,-0.374599,-0.1312246,0.4024225,-0.003056576,0.1850005,0.1542736,0.2044239,0.1858522,0.1940565,0.2003553,0.03685248,0.3073757,-0.1004777,0.1453035,0.3417093,0.1018426,-0.5228406,-0.495981,-0.02911563,-0.1566919,1
2017-28-4--11-16-27,5,0.4059708,0.06250286,-0.3563853,-0.3364594,0.04285204,-0.1968335,0.09004624,0.5651761,-0.252551,0.3918299,0.8640128,-0.1074172,0.2973426,-0.5067371,0.6190128,-0.06016425,-0.59701,0.08661062,0.9024566,-0.3318408,-0.2606768,0.4250868,0.02327207,0.1729556,0.1642176,0.1253407,0.1842378,0.1617223,0.2161329,0.03423715,0.31049,-0.1205641,0.1095015,0.3267016,0.03789569,-0.524302,-0.4848653,-0.04573282,-0.1470028,1
2017-28-4--11-16-27,5,0.3242569,0.07199681,-0.4185849,-0.4841316,0.0312289,-0.2024221,-0.008814662,0.5572373,-0.2751481,0.3047119,0.9228569,-0.1062306,0.21024,-0.3447807,0.7070437,0.0001776209,-0.6174265,0.08084291,0.8749228,-0.310476,-0.3627388,0.4022706,-0.03036912,0.1629833,0.1381971,0.06874824,0.1567072,0.1122977,0.1651052,0.01509631,0.2987502,-0.1419007,0.07703226,0.3167583,-0.02599045,-0.5332178,-0.499918,-0.1008742,-0.1457027,1
2017-28-4--11-16-27,5,0.2359677,0.06609857,-0.4332038,-0.7086681,-0.03095329,-0.2675985,-0.1796625,0.5567522,-0.3204943,0.3110991,0.8962742,-0.1338266,0.2863569,-0.3156333,0.6939783,-0.001406073,-0.6471227,0.06082977,0.8602158,-0.2730736,-0.4263323,0.2780702,-0.2261921,0.1850759,0.08279145,0.03869423,0.05924125,0.02434533,0.03421771,0.001048684,0.2940767,-0.180362,0.02859402,0.2810091,-0.1089137,-0.5397666,-0.5174464,-0.116577,-0.1944109,1
2017-28-4--11-16-27,5,0.1050407,0.07661951,-0.4785007,-0.9192683,-0.06798267,-0.3374609,-0.363978,0.5500499,-0.3702072,0.2762963,0.8858178,-0.1426571,0.3444359,-0.2574134,0.6666188,-0.042235,-0.6982648,0.02822018,0.8480932,-0.284341,-0.4461972,0.1125241,-0.4379677,0.215995,0.05316842,-0.01886617,-0.08403401,-0.1078982,-0.1091798,-0.007465601,0.3033283,-0.2087979,-0.02307324,0.2004399,-0.1969518,-0.5331662,-0.5131493,-0.1298133,-0.2323331,1
2017-28-4--11-16-28,5,-0.003596388,0.1115704,-0.5070294,-1.033225,-0.06331491,-0.395269,-0.456141,0.5433714,-0.4019298,0.2747476,0.9140571,-0.09877969,0.2815243,-0.2541851,0.6848763,-0.02833973,-0.6822985,0.03394414,0.8696695,-0.2605098,-0.4179204,0.006332523,-0.5624701,0.2173874,0.05101955,-0.03560909,-0.1336601,-0.1976261,-0.2283973,-0.01099992,0.3016961,-0.2280512,-0.0472237,0.1461893,-0.246196,-0.5238562,-0.5228416,-0.1296242,-0.2804158,1
2017-28-4--11-16-28,5,-0.03519216,0.1152507,-0.4881943,-1.080507,-0.1013168,-0.4213952,-0.4895684,0.5185121,-0.4245273,0.2286648,0.9294134,-0.09712677,0.2728912,-0.2601024,0.6642427,-0.05463084,-0.698673,0.02016413,0.8936899,-0.2686391,-0.3588102,-0.05997933,-0.6182687,0.2055997,0.02592111,-0.02030669,-0.1763005,-0.2329456,-0.2942017,-0.03048921,0.2787453,-0.2366531,-0.05720028,0.1214477,-0.2556057,-0.5356249,-0.5388938,-0.1246659,-0.3201265,1
2017-28-4--11-16-28,5,-0.04783996,0.11127,-0.4694283,-1.061803,-0.1229371,-0.4764354,-0.4798113,0.5046307,-0.4428826,0.2011564,0.9382496,-0.1135699,0.2575378,-0.2042376,0.706209,-0.06956153,-0.6743271,0.0077807,0.9158066,-0.2821604,-0.2856979,-0.08394919,-0.6225661,0.2059588,0.002011418,-0.007690496,-0.20457,-0.2333657,-0.3177488,-0.04002225,0.2699971,-0.232344,-0.06318814,0.1260207,-0.2447279,-0.5359434,-0.54177,-0.1097969,-0.328789,1
2017-28-4--11-16-28,5,-0.01495344,0.1253633,-0.4279053,-0.9541813,-0.1245569,-0.587819,-0.4257381,0.5129902,-0.4295322,0.1846152,0.9426823,-0.10077,0.2590613,-0.1982953,0.7730253,-0.08617253,-0.5963935,0.01580509,0.9306173,-0.2697407,-0.2468638,-0.07174521,-0.5763474,0.2080498,-0.00241363,0.02549193,-0.2371124,-0.2004332,-0.3004611,-0.037233,0.2706461,-0.2178489,-0.05192091,0.1407933,-0.2218628,-0.5365107,-0.5390729,-0.09841404,-0.3204468,1
