DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--15-11-51,5,-0.3130362,-0.02210164,-0.4204348,-0.7999631,0.04914653,-0.8597792,-0.6448465,0.6216533,-0.3962198,-0.1812669,0.9723155,-0.08587296,0.1198779,0.1857619,0.9810286,-0.04972824,0.02454821,0.0558027,0.9408194,-0.3262689,-0.07275719,-0.4079607,-0.8638067,0.1534584,0.1328409,0.01279078,-0.3854003,-0.6194945,-0.7011486,0.008147955,0.375191,-0.2775241,-0.09249742,-0.5177326,-0.7357423,-0.4446863,-0.4514823,-0.1879797,-0.2859436,1
2017-28-4--15-11-51,5,-0.3275675,0.02715147,-0.4557415,-0.751332,0.0739702,-0.8659836,-0.6735474,0.6275672,-0.408694,-0.1802578,0.9746892,-0.00998441,0.1318646,0.1561832,0.9849367,-0.002562104,0.07416222,0.05052269,0.9465284,-0.3142718,-0.05258176,-0.4513729,-0.885204,0.1589973,0.1194946,-0.009935409,-0.3944951,-0.6477867,-0.7441784,0.01236212,0.3774378,-0.2964911,-0.1159467,-0.5367215,-0.7514157,-0.4441055,-0.4512844,-0.195072,-0.290677,1
2017-28-4--15-11-52,5,-0.2342099,0.131825,-0.4409692,-0.6635374,0.1283015,-0.8655466,-0.6644614,0.6371672,-0.3938176,-0.2030983,0.9367609,0.0909835,0.2700964,0.1366339,0.9801593,0.0568684,0.1318517,0.06313603,0.9540104,-0.2929092,-0.009067039,-0.4669791,-0.8711915,0.1520883,0.1230764,-0.01684498,-0.4097294,-0.6552318,-0.7650118,0.01721251,0.3743948,-0.3078256,-0.1184593,-0.5445485,-0.7551929,-0.4448845,-0.4515383,-0.2053864,-0.3033471,1
2017-28-4--15-11-52,5,-0.1391903,0.2128493,-0.3419706,-0.529527,0.2035066,-0.8438627,-0.6347616,0.6471691,-0.363447,-0.2907046,0.8882868,0.1233884,0.3334856,0.1031317,0.9649176,0.1247721,0.2067119,0.08263267,0.9623123,-0.2575458,0.02823415,-0.4595917,-0.8213512,0.1487824,0.1350549,0.01910452,-0.4278308,-0.6379358,-0.7668954,0.0207454,0.3660711,-0.3126983,-0.1125427,-0.5474022,-0.7375564,-0.4511256,-0.4521604,-0.2027702,-0.3261744,1
2017-28-4--15-11-52,5,-0.05308731,0.2936947,-0.1638286,-0.3527047,0.2783073,-0.7641572,-0.5882744,0.66564,-0.3220166,-0.4109012,0.8243572,0.08018351,0.3810067,0.07639521,0.9172365,0.1945126,0.3391252,0.1006488,0.9677913,-0.1992669,0.1163723,-0.4340733,-0.7461921,0.173645,0.1566601,0.107057,-0.4523517,-0.6138382,-0.7643671,0.02273369,0.3567488,-0.316733,-0.1154484,-0.5431865,-0.7246044,-0.4530412,-0.455659,-0.2034359,-0.3334667,1
2017-28-4--15-11-52,5,0.002904161,0.3626091,0.06479324,-0.1997703,0.3477788,-0.6086769,-0.5510302,0.6905832,-0.2759671,-0.4824997,0.6994715,-0.006202907,0.5271577,0.03988267,0.8209879,0.2726555,0.5000471,0.07879417,0.9593351,-0.1208426,0.2426203,-0.4460251,-0.6687598,0.1918418,0.1835144,0.1682808,-0.4708481,-0.5978488,-0.7500353,0.02384734,0.3518596,-0.3274749,-0.1323132,-0.5372271,-0.7134407,-0.4557364,-0.4582611,-0.2078737,-0.3366766,1
2017-28-4--15-11-52,5,0.005567415,0.3217808,0.2152754,-0.1606224,0.3712169,-0.4684091,-0.5395811,0.7192839,-0.2371229,-0.4781371,0.4965074,0.05107634,0.7226732,-0.009039945,0.7187552,0.3033814,0.625515,0.03414541,0.9290785,0.0001549183,0.3683032,-0.4359382,-0.6346958,0.1740401,0.193729,0.1489822,-0.4691623,-0.5907267,-0.7239649,0.02316093,0.3489602,-0.3422199,-0.1422038,-0.530626,-0.7084028,-0.4583033,-0.459507,-0.2120389,-0.333219,1
2017-28-4--15-11-53,5,0.01146797,0.08341682,0.2030358,-0.2028532,0.3205159,-0.3885312,-0.5293227,0.7378761,-0.1871198,-0.301208,0.3498808,-0.1173695,0.8792506,0.02614277,0.6165482,0.3102392,0.7231435,0.02103939,0.8287981,0.1531921,0.5377577,-0.3738331,-0.6700667,0.1563364,0.189839,0.0733849,-0.4640593,-0.5802382,-0.6905285,0.02437103,0.3484135,-0.3485275,-0.1336645,-0.527643,-0.7056168,-0.4601759,-0.4594249,-0.2116805,-0.3301211,1
2017-28-4--15-11-53,5,0.0190934,-0.07365918,-0.007906243,-0.2505651,0.2628589,-0.4259139,-0.509392,0.7398376,-0.1784496,-0.197623,0.5514984,-0.224449,0.7787281,0.06318203,0.6526623,0.2599173,0.7088603,0.02094165,0.8107669,0.1775486,0.5574001,-0.3389655,-0.7304945,0.1286287,0.1815549,-0.02044764,-0.4334626,-0.5683697,-0.6600034,0.02443731,0.3512385,-0.3449284,-0.1094512,-0.5179012,-0.6990606,-0.4613099,-0.4588338,-0.209729,-0.3327715,1
2017-28-4--15-11-53,5,0.07373628,-0.03423464,-0.1853302,-0.2998631,0.2038536,-0.4971807,-0.4732243,0.7235037,-0.2024021,-0.1626741,0.6776873,-0.07648224,0.7130411,0.06116102,0.7468514,0.1777045,0.6378819,0.02788261,0.8570707,0.0469749,0.5122948,-0.3119181,-0.7704825,0.1038744,0.1624687,-0.05764216,-0.3854753,-0.5447689,-0.6416305,0.02195513,0.342688,-0.3341879,-0.09133726,-0.5083195,-0.6879616,-0.4616928,-0.4575856,-0.2048112,-0.3330281,1
2017-28-4--15-11-53,5,0.07431248,0.07875645,-0.2728074,-0.3743046,0.1298925,-0.5556663,-0.4437748,0.7103003,-0.2162308,-0.5173128,0.7566094,0.01970674,0.3994263,0.06563835,0.8345541,0.08038852,0.5410627,0.02709757,0.8475373,-0.03983524,0.5285447,-0.2754989,-0.7978269,0.115154,0.1528111,-0.005041835,-0.3287005,-0.519533,-0.6350173,0.0172677,0.343833,-0.318732,-0.08650781,-0.4981943,-0.6716453,-0.4614149,-0.4578403,-0.1925903,-0.3374715,1
2017-28-4--15-11-53,5,0.1475787,0.1090143,-0.2100737,-0.4227945,0.08453703,-0.5718404,-0.438757,0.7042826,-0.2383168,-0.5359568,0.7259377,-0.04923182,0.4281833,0.08493146,0.874404,0.04361553,0.4757121,0.0147189,0.8629259,-0.08187711,0.4984359,-0.2084346,-0.7997647,0.1641186,0.1474853,0.03046418,-0.2820538,-0.5099744,-0.6209653,0.01423311,0.3472126,-0.3117864,-0.08936423,-0.4934408,-0.6660752,-0.4621949,-0.4564725,-0.1890425,-0.3388462,1
