DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,BackX,FrontX,BackY,FrontY,BackZ,FrontZ,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,Scale
2017-16-5--13-35-04,5,1.056844,0.3596609,-0.4025045,0.5786536,-0.2962263,0.1867314,0.9225714,1.273676,0.1553217,-0.03896902,0.7583119,0.043894,-0.6492441,-0.08935202,0.8193641,-0.2423957,-0.5117646,-0.3675747,0.6370764,-0.3335845,-0.5896981,1.437499,1.287252,-1.06455,-1.022975,-0.320162,0.1953794,1.709266,1.362266,0.6306606,-0.003994423,0.2397044,-0.1127613,1.940975,1.266256,0.3689274,0.08396389,-0.1599039,0.4918923,0.4650878
2017-16-5--13-35-04,5,1.056378,0.3606126,-0.4027768,0.5738764,-0.2761117,0.1740036,0.9250972,1.275276,0.1548231,-0.03634968,0.7587281,0.04383618,-0.6489136,-0.08318265,0.8247315,-0.2327197,-0.5086651,-0.3662716,0.6377162,-0.3334267,-0.5899066,1.439184,1.296687,-1.065579,-1.028974,-0.3187683,0.1959094,1.712378,1.363596,0.6308308,-0.004440669,0.2397837,-0.1112495,1.942455,1.276486,0.3675872,0.08807519,-0.1587642,0.4986498,0.4650878
2017-16-5--13-35-04,5,1.055928,0.3603988,-0.4005013,0.5696947,-0.2577913,0.163552,0.9288479,1.278272,0.155062,-0.0360814,0.7582533,0.04459848,-0.6494314,-0.07730201,0.8286343,-0.22233,-0.5078967,-0.3647118,0.6390362,-0.3320186,-0.5902389,1.439867,1.300987,-1.064589,-1.030719,-0.318792,0.1956409,1.713377,1.366291,0.6304794,-0.004426059,0.2403136,-0.1111162,1.943035,1.276395,0.3668736,0.09157262,-0.1582118,0.5016735,0.4650878
2017-16-5--13-35-04,5,1.054172,0.3604903,-0.398899,0.5638532,-0.2416649,0.1535677,0.9324162,1.281315,0.1550788,-0.03443843,0.7579101,0.04504519,-0.6498902,-0.07134296,0.832148,-0.2155077,-0.5059609,-0.362344,0.6402591,-0.3307533,-0.5910815,1.439135,1.304194,-1.064885,-1.032805,-0.3176505,0.1972737,1.71614,1.366183,0.6302746,-0.004304309,0.240658,-0.109476,1.943388,1.276849,0.364933,0.09379564,-0.1571817,0.5055232,0.4650878
2017-16-5--13-35-04,5,1.052435,0.3625416,-0.3986103,0.5612217,-0.2271462,0.1444918,0.9357589,1.284636,0.1548457,-0.03084907,0.7583804,0.04570369,-0.6494758,-0.06707432,0.8350126,-0.2103188,-0.5040051,-0.3604712,0.6415069,-0.3287949,-0.5919657,1.438608,1.305676,-1.06545,-1.034132,-0.3173587,0.1974198,1.71883,1.36475,0.6292701,-0.003602517,0.2408703,-0.1085571,1.944352,1.277751,0.3630822,0.0963647,-0.1562358,0.5068772,0.4650878
2017-16-5--13-35-04,5,1.050337,0.3639631,-0.3982824,0.5615129,-0.2131198,0.1374797,0.9390473,1.288544,0.1552964,-0.02992037,0.758597,0.04770314,-0.6491225,-0.0655537,0.8359189,-0.2034006,-0.50554,-0.3581988,0.6431273,-0.3265169,-0.5928472,1.437135,1.305165,-1.065728,-1.034416,-0.3175984,0.1983052,1.720604,1.363083,0.6288021,-0.003427453,0.2406365,-0.1084975,1.943465,1.280576,0.3613374,0.09830193,-0.1555582,0.5075368,0.4650878
2017-16-5--13-35-04,5,1.049251,0.3673711,-0.3986129,0.5643789,-0.196883,0.1299666,0.9440222,1.293158,0.1553583,-0.02735008,0.7581735,0.0489672,-0.6496361,-0.06540487,0.8361204,-0.1954103,-0.5083697,-0.3571514,0.6438795,-0.3238791,-0.5941082,1.435737,1.305013,-1.065683,-1.034424,-0.3182246,0.1975585,1.723878,1.360763,0.6284632,-0.00203976,0.2398593,-0.1085084,1.942296,1.287656,0.3593735,0.1010399,-0.1551064,0.5102157,0.4650878
2017-16-5--13-35-04,5,1.046385,0.3708078,-0.3993162,0.5694997,-0.181301,0.1211153,0.9483451,1.298063,0.1554904,-0.02459591,0.7579532,0.05111845,-0.6498377,-0.06585559,0.8374568,-0.1887441,-0.5086304,-0.3552845,0.6448897,-0.319673,-0.5964054,1.434143,1.306867,-1.06517,-1.035509,-0.3192094,0.1964082,1.723219,1.358194,0.6250147,-0.0003265462,0.2390678,-0.1097941,1.941844,1.294977,0.3575796,0.1045673,-0.1572353,0.5112053,0.4650878
2017-16-5--13-35-05,5,1.043036,0.3713922,-0.3993672,0.5746658,-0.165075,0.1120545,0.9539511,1.303294,0.1565733,-0.0235885,0.7569672,0.05229192,-0.6509299,-0.07166312,0.8367969,-0.1790102,-0.5124362,-0.3532471,0.6459031,-0.3175044,-0.597676,1.428373,1.307942,-1.063712,-1.036367,-0.3225311,0.1967041,1.721021,1.355165,0.6210334,0.0007956038,0.2375627,-0.1102134,1.940525,1.302744,0.3553202,0.1074732,-0.1600357,0.5105541,0.4650878
2017-16-5--13-35-05,5,1.039737,0.3753097,-0.4007163,0.5779074,-0.1403662,0.09876637,0.9609783,1.310075,0.156603,-0.01950637,0.755979,0.0530557,-0.6521506,-0.07707114,0.8360195,-0.162535,-0.5183761,-0.3515426,0.6470599,-0.3138831,-0.5993403,1.406834,1.307513,-1.053428,-1.036242,-0.3377014,0.1954502,1.722876,1.357273,0.6189488,0.002392707,0.2358076,-0.1090972,1.93896,1.315172,0.3531976,0.1097146,-0.1638975,0.5144022,0.4650878
2017-16-5--13-35-05,5,1.034711,0.3768212,-0.4018206,0.5800101,-0.1136042,0.08391701,0.9695257,1.316886,0.1535975,-0.01526435,0.7545246,0.05202195,-0.6540285,-0.08068328,0.8344186,-0.1490545,-0.5244223,-0.3487552,0.6487591,-0.3095711,-0.6013712,1.369567,1.309261,-1.03175,-1.037197,-0.3665476,0.1939645,1.726182,1.363122,0.6175008,0.004279959,0.2329413,-0.1123651,1.936954,1.325921,0.3503164,0.1150606,-0.1690652,0.5104442,0.4650878
2017-16-5--13-35-05,5,1.027785,0.3740571,-0.406982,0.5805618,-0.08436272,0.06639104,0.97911,1.324812,0.1418009,-0.006455066,0.7515822,0.04868077,-0.6578091,-0.07564466,0.8348032,-0.1337827,-0.5286622,-0.3478547,0.6467615,-0.3027174,-0.6075021,1.349042,1.316532,-1.017791,-1.038673,-0.3872916,0.1882336,1.733528,1.3652,0.6165022,0.004063629,0.2225603,-0.1190534,1.934988,1.336604,0.3459764,0.1172216,-0.1801798,0.5035732,0.4650878
2017-16-5--13-35-05,5,1.018371,0.3648997,-0.4153498,0.5790443,-0.0575562,0.05072606,0.9916232,1.331665,0.1189156,-0.002091537,0.7452519,0.04334759,-0.6653693,-0.07238405,0.8313935,-0.1259043,-0.5363707,-0.344509,0.6440874,-0.2979171,-0.6145815,1.366546,1.321157,-1.031993,-1.039426,-0.3850659,0.1810584,1.744536,1.370075,0.6164597,0.001224933,0.1979826,-0.1328339,1.931935,1.348331,0.3411956,0.1220555,-0.2030385,0.4914252,0.4650878
