DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--14-41-32,5,-0.03950819,0.01672888,0.09330337,0.1179579,-0.1237779,-0.4049565,-0.1480456,0.4983021,-0.20251,-0.01380476,0.4809497,-0.03596851,0.8759014,-0.06523619,0.6600528,-0.0775054,0.7443571,0.2015643,0.3677752,-0.05869083,0.9059076,-0.3919799,-0.2295843,0.02467847,-0.04893875,-0.06384914,-0.5101414,-0.0869382,-0.3660601,-0.1091909,0.09887195,-0.1674355,-0.3085927,-0.195344,-0.191896,-0.522985,-0.590921,0.0277346,-0.2844026,1
2017-28-4--14-41-33,5,-0.06384458,-0.0007238388,0.15018,0.1137751,-0.1401788,-0.3631698,-0.1272424,0.4850816,-0.1382723,0.004109237,0.4511309,-0.04463283,0.8913316,-0.007628601,0.6528971,-0.07193832,0.7539842,0.2479936,0.3650163,-0.08655095,0.8931804,-0.4025708,-0.2236106,0.02533185,-0.04118013,-0.04189894,-0.4794059,-0.09165421,-0.355271,-0.1150817,0.1014776,-0.1252372,-0.2776298,-0.1825412,-0.1858945,-0.5212654,-0.5911448,0.05483072,-0.2628643,1
2017-28-4--14-41-33,5,-0.04939067,-0.03277719,0.2321119,0.11755,-0.132774,-0.2938325,-0.1113732,0.4875971,-0.02065271,0.0210941,0.4849398,-0.07120992,0.8713883,0.04316666,0.6788828,-0.03844924,0.7319676,0.2287457,0.400557,-0.08040217,0.8836091,-0.4000175,-0.21995,0.01634049,-0.02002525,0.04852246,-0.3963295,-0.08830948,-0.3459545,-0.1266947,0.1080045,-0.05325575,-0.186878,-0.1495906,-0.1924672,-0.530684,-0.5929699,0.08775128,-0.2322657,1
2017-28-4--14-41-33,5,-0.006231229,-0.03596365,0.3268535,0.1188156,-0.1053026,-0.2177186,-0.09829458,0.5033487,0.1019483,-0.01540102,0.5251137,-0.07895377,0.8472218,0.0424809,0.7133735,-0.03700594,0.6985157,0.1668789,0.4313474,-0.05997495,0.8845869,-0.3792548,-0.2296937,0.007921576,0.007630944,0.1711242,-0.2860309,-0.07548375,-0.3391664,-0.129643,0.1208576,0.03877845,-0.05525772,-0.1564213,-0.174043,-0.5408118,-0.5926839,0.1376307,-0.1833646,1
2017-28-4--14-41-33,5,0.04448877,-0.01314449,0.3974077,0.1134682,-0.07576764,-0.1635978,-0.0870335,0.5133804,0.1801989,-0.06269833,0.5630696,-0.04661196,0.8227082,0.03530594,0.734979,-0.01746509,0.6769449,0.1248507,0.465016,-0.04917387,0.8750739,-0.3486521,-0.2417115,0.004768968,0.02785802,0.2847385,-0.2001764,-0.0624545,-0.3450476,-0.1217867,0.1352773,0.086518,0.04529364,-0.157872,-0.1039831,-0.5458211,-0.5745528,0.1583862,-0.1286711,1
2017-28-4--14-41-33,5,0.08308841,0.00579536,0.4181994,0.1089262,-0.07707858,-0.1512383,-0.07313214,0.5145199,0.2123637,-0.07896036,0.5582655,-0.01080156,0.8258258,0.04957462,0.7477536,-0.006135624,0.6620947,0.1262908,0.4739004,-0.04199078,0.870463,-0.3176428,-0.2462792,-0.002740026,0.0404321,0.323617,-0.1598791,-0.0428396,-0.3364878,-0.1166656,0.1395959,0.1106794,0.08761448,-0.1661804,-0.05832419,-0.5489682,-0.5620989,0.1646274,-0.04490711,1
2017-28-4--14-41-34,5,0.1167524,0.0270884,0.4205775,0.1538027,-0.08481991,-0.1433871,-0.04241346,0.5155989,0.2090854,-0.09477109,0.5544794,0.00514976,0.8267676,0.03492527,0.7570751,-0.01424637,0.6522382,0.1141144,0.4728792,-0.03675274,0.8729332,-0.2908711,-0.2095299,-0.00113976,0.03028047,0.3319056,-0.1486914,-0.01273114,-0.3094961,-0.1204401,0.1370089,0.1320735,0.09280844,-0.1506008,-0.02771248,-0.5535628,-0.5616508,0.1762303,-0.01064058,1
2017-28-4--14-41-34,5,0.1819174,0.06398261,0.4112267,0.2254082,-0.09816062,-0.1348852,0.008198827,0.5242257,0.1787203,-0.1246292,0.5491893,0.0199074,0.8261128,0.02608433,0.7358648,-0.02371234,0.6762102,0.07671545,0.4552301,-0.02133695,0.8868061,-0.2327887,-0.1415173,0.00199759,0.01460361,0.331154,-0.1594011,0.04273177,-0.2541043,-0.1248747,0.1305835,0.1345536,0.07165506,-0.1279764,0.02580629,-0.5591437,-0.5695772,0.1775918,0.003114755,1
2017-28-4--14-41-34,5,0.2725134,0.1154978,0.3849937,0.3056203,-0.1041634,-0.157206,0.07153167,0.5403899,0.1264472,-0.151254,0.5337604,0.05584155,0.8301228,0.01969137,0.7254719,-0.02299544,0.6875857,0.03177613,0.4411758,0.00779785,0.8968241,-0.1416079,-0.06108983,0.01254559,0.002545238,0.304858,-0.1895126,0.1235372,-0.1801795,-0.1196617,0.1267048,0.1121078,0.03676992,-0.06610138,0.07474113,-0.5628017,-0.5764518,0.17963,-0.0003056504,1
2017-28-4--14-41-34,5,0.3675242,0.191581,0.3936279,0.3591939,-0.1036615,-0.1805532,0.1165458,0.5506915,0.09142154,-0.1717742,0.5185129,0.0500029,0.8361446,0.02871606,0.7075005,-0.01840115,0.7058895,-0.001292744,0.4318674,0.02160578,0.9016774,-0.03575029,0.00482094,0.02717805,0.004350305,0.3094369,-0.2299907,0.1800696,-0.1181004,-0.117607,0.1281046,0.08607019,0.0008139256,0.08548259,0.09780592,-0.5407711,-0.5808418,0.2563693,-0.01146455,1
2017-28-4--14-41-34,5,0.467571,0.3314508,0.4755997,0.3659273,-0.1109122,-0.2132426,0.143672,0.5535396,0.08929637,-0.2580807,0.470511,0.08434691,0.8395829,0.02305181,0.7580019,-0.0362311,0.6508372,-0.0219353,0.425679,0.03830198,0.9037971,0.1046131,0.0173252,0.07612753,0.00277555,0.3820722,-0.2229926,0.2203517,-0.08254669,-0.1141325,0.1285772,0.07652196,0.004767865,0.1455785,0.1026165,-0.5307188,-0.5828221,0.2515893,-0.01777813,1
2017-28-4--14-41-35,5,0.5793067,0.4642091,0.5822225,0.3162287,-0.1312929,-0.234434,0.1621769,0.5514659,0.1243795,-0.2639395,0.4023904,0.1285193,0.8671221,0.03267945,0.8267915,-0.04676032,0.5596082,-0.02651099,0.4398445,0.04530151,0.8965388,0.2636212,-0.007759218,0.1862878,-0.004729986,0.4515935,-0.1701162,0.2577139,-0.05763309,-0.1100117,0.1229331,0.07570723,0.06751675,0.1818614,0.1100683,-0.5485632,-0.5836788,0.260254,-0.01170493,1
2017-28-4--14-41-35,5,0.6498368,0.5234597,0.6366655,0.239461,-0.1544636,-0.2221417,0.1821541,0.5527803,0.1775202,-0.2544604,0.3610327,0.1575513,0.883223,0.01005952,0.916814,-0.09766609,0.3870559,-0.01352638,0.4604068,0.07548146,0.8843898,0.3709405,-0.03673599,0.2554007,-0.00840342,0.4689404,-0.05742142,0.2928837,-0.02076744,-0.09673631,0.1239539,0.1022894,0.1544862,0.2134869,0.1278174,-0.5537885,-0.5846616,0.2904617,0.02689986,1
2017-28-4--14-41-35,5,0.6869659,0.5294485,0.6636294,0.1948814,-0.1878341,-0.1778299,0.2023155,0.5486828,0.2092698,-0.2498208,0.3602726,0.1790462,0.8807586,0.006938562,0.9453188,-0.146459,0.2913316,-0.01153307,0.4825217,0.07996734,0.8721496,0.4197566,-0.04042188,0.2653822,-0.01575303,0.4943216,0.02911771,0.3166112,0.00979215,-0.09912789,0.1208631,0.1331832,0.2148776,0.2234129,0.1440008,-0.5553348,-0.5873266,0.3133441,0.05684294,1
2017-28-4--14-41-35,5,0.6905628,0.5211885,0.6682616,0.2175071,-0.186095,-0.1671191,0.2108098,0.5453135,0.2228308,-0.2839953,0.3694333,0.171553,0.8680066,0.0004212504,0.9438965,-0.1363925,0.3007599,-0.006048635,0.4852547,0.07618553,0.8710264,0.4292495,-0.02728958,0.2517508,-0.02166164,0.5143775,0.0505183,0.3325195,0.02016846,-0.1013793,0.1163213,0.1489052,0.2347032,0.2338647,0.1546798,-0.5562531,-0.588836,0.3196932,0.06773121,1
2017-28-4--14-41-35,5,0.6701475,0.4926364,0.660736,0.273868,-0.1620265,-0.1823749,0.2115752,0.5427243,0.2185952,-0.2916916,0.3912742,0.1784275,0.8543911,-0.003661093,0.9248589,-0.09969749,0.3669918,0.01518264,0.4734377,0.0613123,0.8785597,0.4066787,-0.006789715,0.2234811,-0.02145183,0.5247076,0.01745232,0.3387451,0.0158629,-0.1011865,0.1152053,0.1453763,0.2187455,0.2442987,0.155545,-0.5564849,-0.5877596,0.3123182,0.06085303,1
2017-28-4--14-41-36,5,0.6279986,0.4223106,0.6279885,0.314055,-0.1449208,-0.1967415,0.2108592,0.5373353,0.1978267,-0.2903185,0.4322689,0.1564605,0.8392728,0.001696796,0.8947653,-0.07619934,0.439984,0.0500393,0.4682317,0.03394302,0.8815345,0.3499954,0.008965981,0.1662816,-0.01729369,0.5221272,-0.03355322,0.3337654,0.004134937,-0.1013553,0.1150395,0.1270995,0.1815648,0.2473031,0.147335,-0.5562146,-0.5857719,0.2977202,0.04406641,1
2017-28-4--14-41-36,5,0.5514144,0.3543656,0.6045203,0.3337699,-0.1418726,-0.2103009,0.2129787,0.5238572,0.1693847,-0.263606,0.4131102,0.1816176,0.8525649,0.02661249,0.856944,-0.0716539,0.5097103,0.1112591,0.4854298,-0.01330161,0.8670654,0.2779777,0.01620595,0.09988117,-0.01102901,0.4852788,-0.08949321,0.3208554,-0.01241526,-0.1037625,0.1134789,0.1036524,0.1342825,0.2439466,0.1421863,-0.5558105,-0.5814966,0.2837575,0.02070776,1
2017-28-4--14-41-36,5,0.4423353,0.2970541,0.6057527,0.3395955,-0.146983,-0.2279964,0.2122233,0.5150744,0.1444269,-0.2448705,0.3471837,0.1832383,0.8865245,0.04692295,0.836331,-0.07480671,0.5410662,0.1429652,0.4820014,-0.03572044,0.8636897,0.1862745,0.02192509,0.04858708,-0.007574081,0.4268136,-0.1347257,0.3085238,-0.02291497,-0.1087556,0.1130949,0.08012285,0.09374876,0.2405476,0.1392229,-0.55553,-0.5795084,0.2624697,-0.001215338,1
