DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,BackX,FrontX,BackY,FrontY,BackZ,FrontZ,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,Scale
2017-16-5--11-44-07,5,0.5293066,0.03608871,-0.3023366,0.2583388,0.15637,-0.1628247,0.3957682,0.6149009,-0.05229509,-0.4879608,0.8164033,0.1098423,-0.2886427,0.21557,0.9116412,0.1572931,0.3125683,0.03176722,0.8912979,-0.4502049,0.04352662,0.3138181,0.0858225,-0.4744558,-0.4518729,0.1452126,-0.0123686,0.3379008,0.2947108,0.4832757,0.1829948,0.2947395,0.01185834,-0.08252735,0.5949689,0.2499263,0.1266156,0.2417891,0.03191686,1
2017-16-5--11-44-07,5,0.5161577,0.04484093,-0.293311,0.2740489,0.0439831,-0.305748,0.3612618,0.6097394,-0.09402877,-0.5022141,0.806791,0.08929766,-0.298153,0.2311785,0.9075958,0.1076582,0.3335209,0.03860081,0.8839728,-0.459557,0.07687359,0.3196718,0.1048117,-0.4759858,-0.4705834,0.1192502,-0.03245379,0.2739208,0.2999985,0.4885097,0.1803436,0.2566604,-0.02063349,-0.09483587,0.5726869,0.1946279,0.1382976,0.065538,0.05606526,1
2017-16-5--11-44-07,5,0.5110688,0.0785054,-0.3634449,0.3242292,-0.09670401,-0.3996437,0.2900063,0.6003963,-0.1722437,-0.5429674,0.8003966,0.03258435,-0.2519724,0.1689159,0.8814349,-0.1031765,0.4288293,0.009367164,0.8672383,-0.4797224,0.1329528,0.3035104,0.09107202,-0.4770772,-0.4764335,0.114512,-0.07082912,0.1764732,0.2852124,0.4964331,0.1784486,0.1870235,-0.05807498,-0.0589399,0.521226,0.1295,0.1813681,-0.1177694,0.002090394,1
2017-16-5--11-44-07,5,0.4832844,0.06167793,-0.3443321,0.3628024,-0.115927,-0.4030351,0.2293454,0.5780346,-0.2547697,-0.5371229,0.7649275,-0.05471596,-0.3512706,-0.105529,0.8608976,-0.1807503,0.463733,-0.02651068,0.8449078,-0.5131634,0.1486318,0.3249342,0.08547534,-0.4699235,-0.4831146,0.05867818,-0.09593971,0.09496358,0.2603095,0.5041085,0.1746469,0.1037035,-0.08906046,-0.05099753,0.4939106,0.08601201,0.2283491,-0.2032806,-0.01177979,1
2017-16-5--11-44-07,5,0.5291771,-0.0009742975,-0.3327689,0.3361091,-0.03869593,-0.4447705,0.2228674,0.571298,-0.2773006,-0.5408457,0.7491816,-0.1251615,-0.3613136,-0.2199296,0.8953656,-0.06758302,0.3812925,-0.03619931,0.8286162,-0.5376055,0.1518724,0.3441121,0.07698979,-0.4638058,-0.4848243,0.02864334,-0.1096663,0.08353742,0.2432227,0.507359,0.1745411,0.07277134,-0.1183674,-0.08464828,0.4917981,0.08257031,0.2276126,-0.1860825,-0.03414685,1
2017-16-5--11-44-08,5,0.5386308,-0.0404743,-0.3418446,0.3022873,0.06159472,-0.4548718,0.2539277,0.563253,-0.2666253,-0.5231667,0.7391104,-0.1113922,-0.409395,-0.2731756,0.9021649,0.05909243,0.3286055,-0.05303925,0.8293279,-0.5468118,0.1019755,0.3721101,0.0810152,-0.4707543,-0.4834126,0.01007286,-0.102527,0.1427457,0.2540274,0.5081263,0.1668437,0.08381062,-0.126952,-0.09874891,0.5269231,0.09734809,0.2061884,-0.1407892,-0.06016809,1
2017-16-5--11-44-08,5,0.5630972,-0.09461653,-0.3614773,0.3011608,0.1960068,-0.3916555,0.3329133,0.5661813,-0.2306437,-0.5026391,0.7159383,-0.07987425,-0.4779189,-0.2720509,0.8927746,0.2052348,0.2946532,-0.0655934,0.8398529,-0.5387732,-0.008249048,0.418956,0.1090083,-0.4864568,-0.480057,-0.0009943843,-0.08686583,0.2810245,0.3145392,0.500978,0.1613106,0.1218215,-0.1180015,-0.05925271,0.5960747,0.1270772,0.1595892,-0.04288601,-0.1108856,1
2017-16-5--11-44-08,5,0.5635035,-0.123587,-0.3906692,0.3771142,0.2713516,-0.2880885,0.413777,0.5705286,-0.2146841,-0.4796861,0.6981153,-0.03090773,-0.5306422,-0.252248,0.8723727,0.2612961,0.3272021,-0.04999882,0.8419726,-0.5324221,-0.07147758,0.4501008,0.1339456,-0.4840853,-0.4761045,0.03344458,-0.009092093,0.4184228,0.3524206,0.4993799,0.1622685,0.1372408,-0.09348035,0.02982338,0.6538877,0.1743126,0.1192892,0.06577505,-0.1647331,1
2017-16-5--11-44-08,5,0.5339855,-0.1359134,-0.4344608,0.4650546,0.2201504,-0.2269517,0.4334056,0.5525393,-0.2239445,-0.4473525,0.7161152,-0.002998505,-0.5357665,-0.2267409,0.8559946,0.173489,0.4310029,-0.03688233,0.8287205,-0.5483898,-0.1055017,0.4597528,0.1412817,-0.4839417,-0.4695077,0.04925612,0.0226353,0.4759113,0.3595563,0.499985,0.1587898,0.1300227,-0.06852621,0.07565854,0.6504443,0.1938897,0.0931195,0.1067785,-0.2204704,1
2017-16-5--11-44-08,5,0.5004596,-0.07151079,-0.4822828,0.4748214,0.1063484,-0.2452303,0.421039,0.5330111,-0.2368747,-0.4414636,0.7309201,0.1015245,-0.5104493,-0.2317946,0.8657026,0.0356342,0.4422222,-0.05225559,0.8146189,-0.5721226,-0.07963137,0.4629443,0.1536366,-0.4819676,-0.4805399,0.06171864,0.06708334,0.4594315,0.3643448,0.5037771,0.1464106,0.1230773,-0.06217808,0.07867597,0.6477954,0.1689936,0.1084033,0.0795458,-0.2464416,1
