DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,BackX,FrontX,BackY,FrontY,BackZ,FrontZ,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,Scale
2017-16-5--13-23-42,5,0.4765553,-0.1791267,-0.08361041,-0.0958565,-0.2031083,-0.05792152,0.1540257,0.716333,-0.07763598,-0.1110683,0.9884382,-0.09697369,-0.03535356,0.03940846,0.9608108,-0.2679476,-0.05910652,-0.1133169,0.9411613,-0.1935669,-0.2527974,0.3181682,0.08297171,-0.5746226,-0.5514767,-0.06628063,-0.0004586097,0.1966948,0.1796366,0.3498051,0.06149936,0.1374667,-0.1314493,0.4206884,0.02757148,0.06676712,0.08463486,0.1049581,0.1489151,1
2017-16-5--13-23-42,5,0.4716176,-0.1794833,-0.08602317,-0.1006827,-0.202572,-0.0497728,0.1453036,0.7155678,-0.07691221,-0.1138996,0.9868139,-0.1029663,-0.05121733,0.0366953,0.9596488,-0.2699688,-0.06960186,-0.1184137,0.9360884,-0.198116,-0.2654558,0.3147014,0.08184626,-0.5738093,-0.5513427,-0.07232646,-0.0002689283,0.1987249,0.1739657,0.3501797,0.06230175,0.1370553,-0.1319305,0.4206429,0.03084148,0.06913676,0.08369731,0.1001612,0.1558256,1
2017-16-5--13-23-42,5,0.4668949,-0.1788801,-0.09312833,-0.1009936,-0.2066037,-0.03473374,0.1378864,0.7149998,-0.07650373,-0.118726,0.9848584,-0.1051175,-0.07006066,0.0382155,0.9548877,-0.2864991,-0.06817183,-0.1239143,0.9318596,-0.1992025,-0.2767699,0.3128791,0.08041259,-0.5726218,-0.5516279,-0.07643909,-0.0008601632,0.200652,0.1684043,0.3506987,0.06342757,0.1359677,-0.1325122,0.4211665,0.03465328,0.07140322,0.08283322,0.09402308,0.161798,1
2017-16-5--13-23-42,5,0.4642462,-0.1761407,-0.1052477,-0.09934935,-0.2139236,-0.01413454,0.1320224,0.7139744,-0.0755055,-0.1241645,0.9837152,-0.09978137,-0.08325388,0.03184616,0.9471246,-0.3120322,-0.06765235,-0.1278627,0.9276699,-0.2024597,-0.2865133,0.3121526,0.08087589,-0.5716472,-0.552689,-0.07958007,-0.0003516361,0.2020773,0.1649032,0.3510642,0.06382453,0.1348541,-0.1328275,0.4222284,0.03816703,0.07172048,0.08277797,0.08689141,0.1675132,1
2017-16-5--13-23-42,5,0.4621287,-0.1706271,-0.1218889,-0.09641256,-0.2236612,0.01123151,0.1270336,0.7135613,-0.07494256,-0.1285498,0.9840242,-0.08619687,-0.0879853,0.02115399,0.9352413,-0.3477464,-0.06283899,-0.1307059,0.9257042,-0.2024412,-0.2915566,0.3103138,0.08006311,-0.5717727,-0.5527499,-0.08016059,-0.0003282299,0.2025156,0.1617061,0.351198,0.06383932,0.1349727,-0.132256,0.4237522,0.04018213,0.07229493,0.08239058,0.08038069,0.1736616,1
2017-16-5--13-23-42,5,0.4600876,-0.1629914,-0.1392103,-0.09052696,-0.2326359,0.03580575,0.1235861,0.7142771,-0.07478918,-0.1327895,0.9845642,-0.06855692,-0.09110649,0.01401404,0.9227196,-0.3812447,-0.05517896,-0.1326045,0.9252673,-0.2009101,-0.293141,0.3083663,0.07947649,-0.5713231,-0.5531458,-0.08045828,-0.0002674262,0.2016618,0.1597584,0.3520176,0.06420195,0.1345185,-0.1324586,0.4243762,0.04196636,0.07254258,0.0828746,0.07402234,0.1773621,1
2017-16-5--13-23-42,5,0.4579706,-0.1552362,-0.1548753,-0.08610025,-0.240058,0.05757957,0.1204847,0.7147653,-0.07506234,-0.1348587,0.9855419,-0.04945456,-0.08985941,0.01139108,0.9107527,-0.4103875,-0.04451876,-0.1331723,0.9258922,-0.1998812,-0.2916098,0.3074158,0.07899033,-0.5712903,-0.5533274,-0.07966366,-0.0002629044,0.1999217,0.1582867,0.3525398,0.06395531,0.1343192,-0.131889,0.4249255,0.04196446,0.07323509,0.08339627,0.06932191,0.1809293,1
2017-16-5--13-23-42,5,0.4562604,-0.1482115,-0.1661015,-0.08279586,-0.2445133,0.07100289,0.1178028,0.7150524,-0.0759587,-0.1358632,0.9860801,-0.03551752,-0.08902802,0.006409307,0.9010278,-0.4321291,-0.03704611,-0.1326302,0.9270411,-0.1999706,-0.2881248,0.3061965,0.07810716,-0.5708736,-0.5535068,-0.07838589,0.001055365,0.1965514,0.157199,0.3533405,0.06388676,0.1342288,-0.1312958,0.4234374,0.04062826,0.07375701,0.08441732,0.0666135,0.1831074,1
2017-16-5--13-23-42,5,0.4564166,-0.14276,-0.171107,-0.08127826,-0.2460682,0.07414725,0.1159152,0.7155708,-0.07754658,-0.1375872,0.9865205,-0.02618132,-0.08462626,0.006733277,0.8995055,-0.4359329,-0.028409,-0.1314862,0.9290116,-0.2005403,-0.2818379,0.3062927,0.07731057,-0.5701757,-0.5534048,-0.07697172,0.001553896,0.1926696,0.1563231,0.354429,0.06406999,0.1340899,-0.1311457,0.4214546,0.03768144,0.07437953,0.08566731,0.0656049,0.1834262,1
2017-16-5--13-23-42,5,0.4581303,-0.1398139,-0.1693676,-0.08447758,-0.245152,0.06683851,0.1149455,0.7158602,-0.07987633,-0.1382336,0.9871686,-0.02366751,-0.07635227,0.01075764,0.9016034,-0.4317029,-0.02506624,-0.1293125,0.9319237,-0.2007315,-0.2729532,0.3065988,0.07671808,-0.5685993,-0.5535459,-0.07655191,0.001797227,0.1875141,0.1560681,0.3557543,0.06390846,0.1342261,-0.1299927,0.4194106,0.03284444,0.0757327,0.08679391,0.0675552,0.1825425,1
