DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--13-36-20,5,0.1414729,1.557564,-0.6440223,0.1313731,1.541168,1.073853,0.5026957,1.335759,0.2301436,0.04374306,0.6946061,0.6495261,-0.3061454,0.5979439,0.3532703,0.1161003,-0.7100592,-0.1225493,0.6774314,-0.08111673,-0.7207555,0.6435851,0.6538256,0.8455405,0.7710454,-0.5191787,0.9436598,0.3522962,0.8810219,0.5383015,0.9790879,0.2729833,0.2474378,0.6058807,0.5961618,-0.8413617,-0.8035515,-0.09492414,0.5251202,0.5874643
2017-28-4--13-36-20,5,0.14342,1.557334,-0.6440355,0.1335908,1.542016,1.073037,0.504961,1.335966,0.2287293,0.04283162,0.6944286,0.6499205,-0.3058395,0.5978226,0.3530662,0.1174716,-0.7100372,-0.1216149,0.6782305,-0.08136766,-0.7201337,0.6453313,0.6545786,0.8457471,0.7712654,-0.5192833,0.9432152,0.3540233,0.8825829,0.5385994,0.9787269,0.2726606,0.247604,0.6065317,0.5962685,-0.8411965,-0.8032181,-0.09512566,0.5252426,0.5874643
2017-28-4--13-36-20,5,0.1441842,1.55483,-0.6451343,0.1332305,1.540901,1.072352,0.5057321,1.335121,0.2279296,0.04232961,0.6946283,0.6494542,-0.3064459,0.5968064,0.3542224,0.1184008,-0.7101619,-0.121895,0.678597,-0.08275475,-0.7195829,0.6466759,0.6545177,0.8442271,0.7704168,-0.5200209,0.9423779,0.3558291,0.8843125,0.5381931,0.9787846,0.2721219,0.24728,0.6071106,0.5964581,-0.8410382,-0.8030618,-0.0958762,0.5252434,0.5874643
2017-28-4--13-36-21,5,0.1447208,1.553053,-0.6469519,0.1353592,1.539412,1.07337,0.5054585,1.333666,0.2278068,0.04168178,0.6958321,0.6484453,-0.3059394,0.5964329,0.3537161,0.1195439,-0.7105365,-0.1237585,0.6788445,-0.08459456,-0.7188169,0.6481852,0.6556073,0.8433497,0.7693076,-0.5196146,0.9428465,0.3582637,0.8857019,0.5376889,0.9792478,0.2721356,0.2475527,0.6072991,0.5971335,-0.8403741,-0.8030464,-0.09582117,0.5250463,0.5874643
2017-28-4--13-36-21,5,0.1434857,1.553362,-0.6439473,0.1364705,1.538606,1.075471,0.5057198,1.333758,0.2287647,0.04053279,0.6945667,0.6496195,-0.3064778,0.595665,0.353818,0.1194081,-0.7111525,-0.1241014,0.6791696,-0.08477591,-0.7184292,0.6481338,0.6558195,0.8433444,0.7680495,-0.518571,0.943868,0.3586666,0.8864201,0.5372548,0.9791594,0.2729327,0.2484906,0.6045929,0.5968694,-0.8390023,-0.8033118,-0.09535169,0.5256793,0.5874643
2017-28-4--13-36-21,5,0.1431233,1.55386,-0.642607,0.1356489,1.534909,1.079118,0.5047309,1.333028,0.2310435,0.040927,0.6947203,0.6489675,-0.3074574,0.5942309,0.353469,0.118852,-0.7126174,-0.1258717,0.6787705,-0.08452448,-0.7185281,0.6467734,0.6568776,0.843469,0.7662597,-0.5178227,0.9443453,0.3574895,0.8863159,0.5376006,0.9788923,0.2724898,0.2484235,0.6023842,0.5965914,-0.8378528,-0.803184,-0.09556881,0.5250072,0.5874643
2017-28-4--13-36-21,5,0.1398845,1.556672,-0.6398168,0.1341943,1.534396,1.080042,0.5024375,1.332575,0.2321553,0.04154874,0.693617,0.6499938,-0.3076965,0.5937338,0.3534425,0.1197802,-0.7128894,-0.1275884,0.6782514,-0.08503,-0.7186558,0.6438413,0.6546139,0.8450896,0.7650288,-0.5175128,0.9447747,0.3561271,0.8851557,0.5376136,0.9796198,0.2720866,0.248654,0.6005545,0.5956936,-0.8376377,-0.8036115,-0.09599442,0.5243671,0.5874643
2017-28-4--13-36-21,5,0.1359387,1.555712,-0.6371998,0.1338975,1.532654,1.082839,0.5006334,1.332753,0.2348686,0.04164334,0.6928448,0.6499912,-0.3094243,0.5929528,0.3527513,0.1206314,-0.7137378,-0.1289289,0.6767882,-0.08313534,-0.7200164,0.6407416,0.6535679,0.8456888,0.7632329,-0.5160371,0.9455181,0.3533894,0.882956,0.5380821,0.9793065,0.2723146,0.2491739,0.600036,0.5951354,-0.837927,-0.8036463,-0.09592411,0.5247473,0.5874643
2017-28-4--13-36-22,5,0.133716,1.556311,-0.6375213,0.1311846,1.530311,1.086186,0.4983513,1.332481,0.2363064,0.04344833,0.6943574,0.6484417,-0.3090363,0.5902141,0.3535783,0.1225393,-0.7152718,-0.1307071,0.677235,-0.08333843,-0.7192518,0.6374372,0.6512105,0.8454009,0.7607194,-0.5143818,0.9458383,0.3518271,0.8795912,0.5376958,0.9788286,0.2724257,0.2494633,0.599812,0.5943081,-0.8379997,-0.8033134,-0.09561802,0.5245091,0.5874643
2017-28-4--13-36-22,5,0.1315891,1.55619,-0.6359352,0.1289581,1.531468,1.08462,0.4944727,1.332224,0.2367241,0.04337425,0.6933785,0.649195,-0.3096624,0.590512,0.3533866,0.1249239,-0.714708,-0.1314311,0.6766316,-0.08416595,-0.7195914,0.6345683,0.6472068,0.8454798,0.7604485,-0.5140262,0.945981,0.351206,0.8759926,0.5370263,0.9793089,0.2727225,0.250047,0.5999884,0.5933716,-0.8388432,-0.8035894,-0.09535313,0.5243366,0.5874643
2017-28-4--13-36-22,5,0.1302425,1.554614,-0.6405444,0.1245422,1.532247,1.081004,0.4910823,1.331901,0.2352637,0.0414855,0.6949158,0.6481534,-0.3086553,0.5919172,0.3549694,0.1230781,-0.7130797,-0.1310634,0.6772979,-0.08519807,-0.7189097,0.6328731,0.6435217,0.8433574,0.7609939,-0.5141556,0.9459707,0.3474761,0.8722439,0.5369939,0.9786336,0.2726003,0.250477,0.598445,0.5919731,-0.8393735,-0.8043311,-0.09540021,0.5245522,0.5874643
2017-28-4--13-36-22,5,0.1323412,1.554665,-0.6445469,0.1236903,1.534601,1.07881,0.4886681,1.332082,0.2329164,0.04283878,0.696174,0.6479644,-0.3060211,0.5921246,0.354102,0.1268513,-0.7126772,-0.1297801,0.6782203,-0.08610497,-0.7181646,0.6323297,0.6396133,0.8423727,0.7613758,-0.5157325,0.9448621,0.3451631,0.8690607,0.536777,0.9786352,0.2719269,0.2500764,0.5966275,0.5905251,-0.8392276,-0.8046941,-0.09601844,0.5238349,0.5874643
2017-28-4--13-36-22,5,0.1272983,1.550661,-0.647328,0.1172739,1.532803,1.076417,0.4839804,1.331167,0.2319554,0.04220241,0.6973585,0.6466554,-0.3061814,0.5920059,0.3561583,0.1251931,-0.7120442,-0.1306863,0.6774359,-0.08758484,-0.7185614,0.6285472,0.6358622,0.8393142,0.760866,-0.5165603,0.9443418,0.3439931,0.866392,0.5356724,0.9788864,0.2724462,0.2494417,0.5945988,0.5893233,-0.8396194,-0.805153,-0.09535801,0.5245135,0.5874643
2017-28-4--13-36-23,5,0.1232025,1.550232,-0.6467909,0.1156219,1.534111,1.077144,0.4795411,1.330845,0.2312952,0.04295146,0.6970932,0.6465165,-0.3069733,0.592604,0.3550276,0.1253188,-0.7120892,-0.1300038,0.6773636,-0.08954612,-0.7185116,0.6232144,0.6320062,0.8388124,0.7617133,-0.5166105,0.9449568,0.3405586,0.8631973,0.5355275,0.9798627,0.2730163,0.2492846,0.5927778,0.5873626,-0.8398722,-0.8049983,-0.09510919,0.5249327,0.5874643
2017-28-4--13-36-23,5,0.1184708,1.550233,-0.6461472,0.113078,1.530597,1.080181,0.4763922,1.330643,0.2328696,0.04208229,0.6969288,0.6465677,-0.3073591,0.591181,0.3546947,0.1239619,-0.7136738,-0.1312744,0.6761576,-0.0885969,-0.7195336,0.6200811,0.6303686,0.8390675,0.759666,-0.5163485,0.9447479,0.3371087,0.8605452,0.5354241,0.9802115,0.2727836,0.2488655,0.5900177,0.5853383,-0.8401044,-0.8056649,-0.09529179,0.5248175,0.5874643
2017-28-4--13-36-23,5,0.1158583,1.55235,-0.6432423,0.1101765,1.52987,1.080731,0.4734028,1.33102,0.2337708,0.04240196,0.6955169,0.6476344,-0.3082662,0.5906218,0.3543539,0.125242,-0.7140824,-0.1319116,0.6762807,-0.08759519,-0.719424,0.6165763,0.6268136,0.8408406,0.7587772,-0.5161986,0.9448048,0.3332603,0.8581243,0.535973,0.9810469,0.2728605,0.2484658,0.5886759,0.5837098,-0.840288,-0.8054457,-0.09504995,0.5244259,0.5874643
2017-28-4--13-36-23,5,0.1110209,1.550121,-0.6427361,0.1054691,1.527997,1.080748,0.4704731,1.329885,0.2346418,0.04206863,0.6957181,0.647045,-0.3090945,0.5897992,0.3560382,0.125342,-0.7139071,-0.1329441,0.6754385,-0.08847675,-0.7199171,0.61378,0.6243212,0.8400469,0.7575738,-0.515779,0.9448565,0.3313372,0.8555932,0.535877,0.980804,0.2728139,0.2486927,0.5861399,0.5820326,-0.8398939,-0.8058163,-0.09528317,0.5245817,0.5874643
2017-28-4--13-36-23,5,0.1105558,1.551469,-0.6427798,0.1084042,1.530566,1.082315,0.4692372,1.329293,0.234535,0.04344783,0.6957614,0.6474795,-0.307894,0.5904636,0.3533546,0.1275701,-0.7142963,-0.1337436,0.6751975,-0.08948717,-0.7198703,0.6110303,0.6216978,0.8391374,0.7568681,-0.5155928,0.9448624,0.3276876,0.8534992,0.535795,0.98047,0.2722604,0.2492119,0.5843784,0.5801927,-0.8405411,-0.8064607,-0.09616961,0.5242836,0.5874643
2017-28-4--13-36-24,5,0.108377,1.548092,-0.6453441,0.1010139,1.523993,1.083369,0.4672481,1.329267,0.2349213,0.04160427,0.6969873,0.646118,-0.308236,0.5880426,0.356548,0.1239453,-0.715344,-0.133913,0.6748768,-0.08971243,-0.7201114,0.6102536,0.6202194,0.8377324,0.7550357,-0.5155731,0.9448012,0.3263549,0.8525407,0.5357906,0.9806413,0.2731933,0.2487467,0.5836638,0.5795923,-0.8404579,-0.80673,-0.09509467,0.5248594,0.5874643
2017-28-4--13-36-24,5,0.1075466,1.547639,-0.6466535,0.1007282,1.524709,1.079904,0.4643431,1.328479,0.233707,0.0416391,0.6970898,0.6460986,-0.3080398,0.5884611,0.3575695,0.1250143,-0.7143032,-0.1347013,0.6751956,-0.09178384,-0.7194041,0.6091635,0.6202276,0.8371265,0.755052,-0.51618,0.9446818,0.3267112,0.8506121,0.5353587,0.9810078,0.2723622,0.2485867,0.5845023,0.5805134,-0.8406628,-0.8065446,-0.09572606,0.5244349,0.5874643
2017-28-4--13-36-24,5,0.1076856,1.545714,-0.648021,0.1001746,1.525948,1.079658,0.4630187,1.328201,0.234011,0.04185257,0.6980079,0.6452274,-0.3077579,0.5872622,0.3580033,0.1289292,-0.7143767,-0.1355899,0.6743323,-0.09224775,-0.7199873,0.6081467,0.6174517,0.8354067,0.7547801,-0.5167404,0.9442893,0.3264388,0.8499902,0.5345576,0.9813684,0.272449,0.2484108,0.5840338,0.5793539,-0.8410255,-0.8064413,-0.09544921,0.5245789,0.5874643
2017-28-4--13-36-24,5,0.1111404,1.544099,-0.6540668,0.1014562,1.524572,1.078196,0.4631926,1.328596,0.2340973,0.04111202,0.7003071,0.6439831,-0.3052305,0.5872185,0.3591294,0.1281341,-0.7139904,-0.1358655,0.6738375,-0.0913962,-0.720507,0.609124,0.6192568,0.8336391,0.753915,-0.5172983,0.9438576,0.3260431,0.8496399,0.5346702,0.9809597,0.2717229,0.24764,0.58467,0.5798814,-0.8411553,-0.8062219,-0.09591474,0.5239779,0.5874643
