DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,BackX,FrontX,BackY,FrontY,BackZ,FrontZ,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,Scale
2017-16-5--13-30-46,5,2.115039,1.402983,0.2601732,0.7205626,0.5807301,0.6724285,1.131354,1.767432,1.330656,-0.1070462,0.9339852,0.1948348,0.2797359,-0.3860087,0.908097,0.1036862,0.1249256,0.03628181,0.9310452,-0.103759,0.3479547,0.8467067,0.4116598,-1.304772,-1.195792,1.369096,1.229498,0.8420273,1.028383,0.7872509,0.1476303,1.765511,1.120474,1.705416,0.3506024,0.6736253,0.2473664,1.108978,1.675345,0.4150748
2017-16-5--13-30-46,5,2.099159,1.400903,0.260031,0.7147918,0.5819176,0.673008,1.13293,1.767029,1.331779,-0.1169869,0.9365076,0.1998159,0.2633272,-0.3836854,0.9092833,0.1030188,0.1240026,0.03619942,0.9320727,-0.1049515,0.3448409,0.8450233,0.4105452,-1.304999,-1.195469,1.370327,1.229929,0.8437392,1.027985,0.7880566,0.1476789,1.765557,1.122289,1.715448,0.3530648,0.6702829,0.2502384,1.115647,1.678128,0.4150748
2017-16-5--13-30-46,5,2.097894,1.408709,0.2685364,0.7147665,0.5865493,0.6746217,1.133962,1.765585,1.334608,-0.1223011,0.9371589,0.2074541,0.2524653,-0.3838163,0.9086186,0.1027348,0.1286196,0.03695924,0.9327502,-0.1057122,0.3426896,0.8455901,0.4099625,-1.306189,-1.195901,1.371512,1.228312,0.8431864,1.027898,0.7877266,0.1474683,1.76801,1.125103,1.713684,0.352789,0.6680005,0.2513438,1.12086,1.678556,0.4150748
2017-16-5--13-30-46,5,2.094426,1.41631,0.2824765,0.7162311,0.5916712,0.6772287,1.134777,1.764006,1.33881,-0.1359043,0.9349692,0.2147271,0.2474972,-0.3818931,0.9084138,0.1058018,0.1332222,0.03763356,0.9327834,-0.1059098,0.3424647,0.8448903,0.412483,-1.308287,-1.195999,1.373491,1.228822,0.8424393,1.029074,0.7864661,0.1469502,1.770831,1.128913,1.711284,0.3493437,0.6615934,0.2499943,1.129694,1.676948,0.4150748
2017-16-5--13-30-46,5,2.077949,1.4155,0.3039368,0.7219713,0.5906836,0.6790781,1.134223,1.764077,1.34704,-0.1526504,0.9334169,0.2228331,0.23617,-0.3797104,0.9088786,0.102954,0.138421,0.03778888,0.9318252,-0.1057367,0.3450994,0.8424723,0.4110705,-1.308716,-1.198065,1.375417,1.230685,0.8384313,1.029123,0.7839283,0.1449556,1.774504,1.132321,1.713118,0.3473824,0.6518028,0.2472015,1.14568,1.675714,0.4150748
2017-16-5--13-30-46,5,2.065805,1.417733,0.3278826,0.7244852,0.5930498,0.6817797,1.13181,1.765475,1.353319,-0.1521751,0.9339194,0.2284191,0.229046,-0.384536,0.9065705,0.102929,0.1402413,0.03738992,0.9305114,-0.1047728,0.3489602,0.8443134,0.4146036,-1.309725,-1.198403,1.378666,1.230831,0.8344538,1.030477,0.7838448,0.1455171,1.777769,1.137408,1.716567,0.3480037,0.6455947,0.2464542,1.163352,1.675746,0.4150748
2017-16-5--13-30-46,5,2.049662,1.417054,0.3611811,0.754023,0.5853201,0.6865921,1.127431,1.765079,1.358148,-0.1685946,0.9299714,0.2382196,0.2235634,-0.3854055,0.9054308,0.1043156,0.1441387,0.03428165,0.929771,-0.1059243,0.3509,0.8430193,0.4149989,-1.309509,-1.198269,1.382317,1.229657,0.8288125,1.029493,0.7828324,0.1461808,1.781716,1.140777,1.712278,0.3478912,0.6264066,0.2431267,1.18479,1.676021,0.4150748
2017-16-5--13-30-46,5,2.035244,1.409429,0.3980906,0.7582185,0.5833907,0.6888463,1.122337,1.763686,1.361969,-0.1690164,0.9279216,0.2493919,0.2195419,-0.387255,0.9041508,0.1021981,0.1486623,0.03141714,0.9296726,-0.1064151,0.3512801,0.8427875,0.4165071,-1.309824,-1.200233,1.384894,1.228577,0.8217977,1.030498,0.780863,0.1449318,1.783787,1.144104,1.706917,0.3484234,0.603586,0.2407686,1.204017,1.675747,0.4150748
2017-16-5--13-30-46,5,2.025999,1.396045,0.4302058,0.7626655,0.5816345,0.6894376,1.118774,1.762234,1.364887,-0.1676474,0.9270074,0.2556706,0.217219,-0.3905597,0.9026317,0.09877159,0.1515366,0.03024972,0.9292249,-0.107802,0.3521432,0.8411739,0.4172267,-1.313628,-1.202347,1.38687,1.230182,0.8116692,1.03056,0.7791215,0.1431661,1.785052,1.146784,1.699785,0.3447213,0.5768187,0.2386054,1.230957,1.674206,0.4150748
2017-16-5--13-30-46,5,2.017467,1.383842,0.4666675,0.7696335,0.5800603,0.6884697,1.116203,1.762041,1.366732,-0.1719235,0.923278,0.2627317,0.2212965,-0.386244,0.9032072,0.0979839,0.1594729,0.03114314,0.9279141,-0.108186,0.3553891,0.8375939,0.4166202,-1.317475,-1.204069,1.389866,1.229453,0.804235,1.032246,0.7787662,0.1420716,1.783739,1.150139,1.692082,0.3386447,0.5525765,0.2374772,1.256483,1.669489,0.4150748
2017-16-5--13-30-46,5,2.007147,1.372855,0.4962861,0.7749465,0.5789414,0.6869927,1.115073,1.76252,1.367419,-0.1680851,0.9226428,0.2699499,0.2181854,-0.3900096,0.9014657,0.09392088,0.1625759,0.03050727,0.9263965,-0.1082587,0.359359,0.8346847,0.4172232,-1.320141,-1.204831,1.391559,1.228609,0.7932126,1.031942,0.7793354,0.1417536,1.782446,1.151597,1.678757,0.3320435,0.5242196,0.2369181,1.281987,1.662456,0.4150748
2017-16-5--13-30-46,5,1.998466,1.358318,0.5234632,0.78013,0.5790842,0.6851444,1.113783,1.761651,1.367727,-0.1747108,0.9203284,0.2732194,0.2186848,-0.3887385,0.9013098,0.09385756,0.1664748,0.02930797,0.9249879,-0.1095474,0.3626814,0.8319361,0.4157058,-1.321761,-1.204536,1.392497,1.228774,0.7856607,1.031628,0.7804464,0.14149,1.779475,1.15191,1.664684,0.3272586,0.4987852,0.2380157,1.30361,1.655238,0.4150748
2017-16-5--13-30-47,5,1.992547,1.347291,0.5416965,0.7884437,0.5776766,0.6833416,1.112202,1.760987,1.369141,-0.1678732,0.9210258,0.277448,0.2157611,-0.3886749,0.9008134,0.0906371,0.1710321,0.03008555,0.9234737,-0.1112265,0.3659509,0.8298405,0.4149049,-1.322811,-1.205795,1.392723,1.22883,0.7753746,1.033011,0.7815934,0.141015,1.777179,1.152807,1.654496,0.3209899,0.4827525,0.2396557,1.321609,1.648197,0.4150748
2017-16-5--13-30-47,5,1.995523,1.3399,0.5572262,0.7943321,0.5809788,0.6817626,1.110654,1.760979,1.369978,-0.1715137,0.9183043,0.2790559,0.2223248,-0.3875886,0.9000794,0.09073639,0.1771984,0.03214748,0.9215647,-0.1116366,0.3704354,0.8289677,0.4149636,-1.323373,-1.205219,1.393438,1.226041,0.7661109,1.03224,0.7826348,0.1417706,1.774266,1.153468,1.648546,0.3135233,0.4722181,0.2407499,1.334933,1.639431,0.4150748
2017-16-5--13-30-47,5,1.99395,1.337737,0.5714389,0.7983869,0.583163,0.6784201,1.108268,1.761471,1.370441,-0.1661778,0.9178508,0.283292,0.2228914,-0.3897148,0.8986076,0.08987116,0.1804161,0.03134026,0.9199001,-0.111175,0.3747556,0.8266617,0.4129916,-1.323322,-1.204429,1.393234,1.22424,0.7577363,1.03188,0.7840291,0.1424004,1.769571,1.151294,1.639829,0.3098621,0.4641925,0.2401557,1.342414,1.631199,0.4150748
2017-16-5--13-30-47,5,1.991396,1.337134,0.5797518,0.7997584,0.5844783,0.6760232,1.104791,1.761934,1.37091,-0.1631429,0.9174732,0.2856913,0.2236243,-0.3910338,0.8975356,0.09021456,0.1827125,0.03053904,0.9193133,-0.110734,0.3763886,0.8259159,0.4129103,-1.323181,-1.205329,1.392482,1.224793,0.7500984,1.030922,0.7844519,0.142372,1.766858,1.149839,1.632511,0.3062376,0.4584514,0.2395663,1.34748,1.625565,0.4150748
2017-16-5--13-30-47,5,1.993052,1.33889,0.5835642,0.7992843,0.5856447,0.6753133,1.099711,1.761985,1.371628,-0.1586009,0.9163849,0.2870272,0.2295648,-0.3917604,0.8969586,0.09036678,0.1839103,0.03093502,0.9190407,-0.1095642,0.3773632,0.8282805,0.4114432,-1.32412,-1.205475,1.390611,1.224472,0.7424589,1.029754,0.7843505,0.143505,1.763944,1.148351,1.630588,0.3019901,0.4574606,0.2402424,1.351381,1.621329,0.4150748
2017-16-5--13-30-47,5,1.989961,1.334509,0.5813122,0.7977791,0.5850745,0.6739398,1.094009,1.761965,1.372011,-0.1558828,0.9194838,0.280009,0.2276951,-0.3898931,0.897477,0.09078275,0.1851402,0.0297102,0.9188991,-0.1088303,0.3780183,0.8271357,0.4114608,-1.323776,-1.206347,1.388903,1.224302,0.7350266,1.028427,0.7851452,0.1432655,1.762667,1.147134,1.629255,0.2976639,0.4573776,0.2380706,1.353614,1.617951,0.4150748
2017-16-5--13-30-47,5,1.982573,1.334194,0.5811113,0.7942083,0.5847735,0.6729503,1.089369,1.762475,1.372327,-0.1520232,0.9204583,0.2835987,0.2218501,-0.3940512,0.8957976,0.09053171,0.1845924,0.02870989,0.918845,-0.1082358,0.3783975,0.8271667,0.4097583,-1.324582,-1.207605,1.388702,1.222088,0.7282295,1.026181,0.7846018,0.1436428,1.761146,1.146198,1.626924,0.2946764,0.4585319,0.236103,1.354694,1.616807,0.4150748
2017-16-5--13-30-47,5,1.980324,1.332925,0.5806463,0.7907677,0.5834395,0.6724332,1.08325,1.762241,1.372874,-0.1553135,0.9203702,0.2802848,0.2241358,-0.3929436,0.8967091,0.09093319,0.1823166,0.02703557,0.9189577,-0.1075621,0.3784394,0.8277574,0.4103401,-1.325245,-1.207607,1.387697,1.222595,0.7231667,1.025408,0.7844933,0.1440429,1.760097,1.144234,1.622973,0.2943324,0.4577377,0.2342965,1.354672,1.617058,0.4150748
2017-16-5--13-30-47,5,1.976691,1.334809,0.5798355,0.7879009,0.5847486,0.6715792,1.079579,1.762537,1.372115,-0.1574229,0.9183812,0.283335,0.22697,-0.3949995,0.8954473,0.09276565,0.1831508,0.02675746,0.9190254,-0.1066507,0.3785526,0.8272138,0.4093344,-1.324705,-1.208048,1.386817,1.221282,0.7179829,1.023655,0.7845435,0.1442801,1.757997,1.143334,1.618419,0.2935824,0.4571188,0.2325822,1.353741,1.616628,0.4150748
2017-16-5--13-30-47,5,1.971832,1.33501,0.5788465,0.7845694,0.5842592,0.6703351,1.07646,1.76272,1.371613,-0.1550016,0.919164,0.2837059,0.2249959,-0.3941964,0.8961676,0.09255863,0.1814547,0.02698592,0.918805,-0.1066184,0.37908,0.8269948,0.4085588,-1.322944,-1.207989,1.385957,1.221789,0.7129809,1.022743,0.7850102,0.144204,1.756923,1.141551,1.61546,0.2913503,0.4562966,0.2323981,1.352633,1.616402,0.4150748
2017-16-5--13-30-47,5,1.973019,1.338786,0.5778786,0.7815549,0.5848939,0.6673149,1.074005,1.762478,1.370321,-0.1500331,0.9182042,0.2866271,0.228552,-0.3944456,0.8960013,0.09273557,0.1816441,0.0265326,0.9190068,-0.1074286,0.3783935,0.8271717,0.4074658,-1.322833,-1.20827,1.386227,1.220283,0.7089922,1.020159,0.7856538,0.1452641,1.754551,1.140509,1.612421,0.290386,0.457458,0.2314199,1.352235,1.614487,0.4150748
2017-16-5--13-30-47,5,1.977346,1.346972,0.5791393,0.7803398,0.5873116,0.6660296,1.072298,1.76271,1.368548,-0.1483645,0.9157931,0.2901573,0.2347764,-0.3953861,0.895416,0.09292463,0.1823875,0.02707426,0.9192359,-0.1076928,0.3777229,0.8276731,0.4074394,-1.323074,-1.208652,1.385808,1.21898,0.7053738,1.018876,0.7858572,0.1448663,1.75294,1.139416,1.610927,0.288845,0.4583931,0.2306703,1.349109,1.612138,0.4150748
2017-16-5--13-30-47,5,1.981795,1.356619,0.5819643,0.7792991,0.5880933,0.6636508,1.07133,1.764227,1.366646,-0.1470732,0.9117025,0.2963055,0.2436621,-0.3927665,0.8962619,0.09405867,0.1833089,0.02701516,0.9192051,-0.1075314,0.3778482,0.8287744,0.4087941,-1.322251,-1.208812,1.384509,1.211821,0.7018005,1.017565,0.7866809,0.1450395,1.751314,1.139163,1.608513,0.2850835,0.4624763,0.2315322,1.343622,1.609915,0.4150748
2017-16-5--13-30-47,5,1.981248,1.36273,0.5838832,0.7773324,0.5901026,0.6612791,1.070795,1.766168,1.365405,-0.1428677,0.9109706,0.2989045,0.2457187,-0.394329,0.8959819,0.09391909,0.1813847,0.02598463,0.9191733,-0.1084835,0.3777256,0.8304269,0.4141531,-1.32119,-1.205891,1.385299,1.19381,0.6997761,1.018588,0.7901405,0.1469442,1.751052,1.140831,1.606262,0.28567,0.4661245,0.2331558,1.341319,1.608103,0.4150748
2017-16-5--13-30-47,5,1.978693,1.369138,0.5861728,0.777567,0.5938258,0.6623868,1.07204,1.768108,1.364051,-0.1377929,0.9105932,0.303804,0.2440009,-0.3936214,0.8958189,0.09482817,0.1832438,0.02318872,0.9195471,-0.1089038,0.3768759,0.8334631,0.4245484,-1.320334,-1.20496,1.389011,1.167793,0.6988457,1.021936,0.7926845,0.1466389,1.750801,1.145127,1.60673,0.2865417,0.4679623,0.234634,1.343953,1.607812,0.4150748
2017-16-5--13-30-48,5,1.975551,1.374167,0.5888215,0.778787,0.5926434,0.6638176,1.074225,1.76847,1.362818,-0.1408693,0.9085991,0.3069308,0.2457581,-0.3960778,0.8954133,0.09335733,0.1806704,0.0203066,0.9201944,-0.1118076,0.3746051,0.8310162,0.4476365,-1.318012,-1.202919,1.393112,1.130128,0.6992167,1.026505,0.7956007,0.1460117,1.753926,1.153109,1.614159,0.2893918,0.4737304,0.2358761,1.346197,1.610003,0.4150748
2017-16-5--13-30-48,5,1.965062,1.380173,0.5936911,0.7837282,0.590239,0.667764,1.077855,1.769817,1.361047,-0.1375382,0.9070092,0.3159373,0.2420766,-0.3903436,0.8980151,0.09375532,0.1800299,0.0164709,0.921811,-0.1145423,0.3699641,0.8339046,0.4777978,-1.316585,-1.196783,1.399816,1.074255,0.7028143,1.031362,0.7994682,0.1449703,1.759415,1.163177,1.616266,0.2929439,0.4731428,0.2363664,1.35244,1.614312,0.4150748
2017-16-5--13-30-48,5,1.95505,1.382396,0.5907051,0.7894019,0.5911841,0.6728101,1.081531,1.765408,1.357511,-0.1310615,0.9097919,0.3197569,0.2299068,-0.3918196,0.8969299,0.09352621,0.1823378,0.01210935,0.9244526,-0.1152407,0.3632637,0.8311941,0.5146272,-1.316766,-1.171582,1.409283,0.9693692,0.7105557,1.031066,0.802339,0.1412602,1.765525,1.177915,1.617598,0.2998733,0.4719507,0.2379184,1.35853,1.620995,0.4150748
2017-16-5--13-30-48,5,1.946012,1.386217,0.587117,0.7911938,0.5946489,0.6698158,1.079623,1.762336,1.351092,-0.1306146,0.9094528,0.3228764,0.2271261,-0.3789657,0.8998804,0.1010385,0.1907657,0.01156189,0.9250369,-0.1163939,0.3614216,0.8254952,0.5406259,-1.320113,-1.126058,1.416734,0.8638271,0.7141718,1.017483,0.8010116,0.1300689,1.767522,1.185832,1.623969,0.3004707,0.4682263,0.2312841,1.357817,1.618868,0.4150748
2017-16-5--13-30-48,5,1.937976,1.392643,0.5804107,0.7881116,0.5951774,0.6524572,1.072619,1.765735,1.338357,-0.1362799,0.9074892,0.3253547,0.2281131,-0.3758622,0.9008476,0.1000089,0.1928717,0.01654777,0.9222413,-0.1181344,0.367752,0.8384975,0.5748475,-1.308604,-1.106245,1.411524,0.8343385,0.7059416,1.010683,0.8022298,0.127703,1.759266,1.179456,1.62444,0.2924888,0.4708967,0.2324504,1.352376,1.603525,0.4150748
2017-16-5--13-30-48,5,1.938735,1.402929,0.5735712,0.7848976,0.594007,0.6237061,1.059136,1.766149,1.320229,-0.1406923,0.904166,0.3238379,0.2404549,-0.3816233,0.8976732,0.0942966,0.199135,0.01656903,0.917775,-0.1120975,0.3805901,0.8412588,0.5574536,-1.309361,-1.140176,1.408812,0.874159,0.6866941,1.016804,0.8054324,0.1340797,1.731913,1.16994,1.608662,0.2807068,0.4800012,0.2385916,1.343909,1.576453,0.4150748
2017-16-5--13-30-48,5,1.943793,1.421283,0.5654489,0.7889713,0.58729,0.5855435,1.036286,1.757894,1.298496,-0.1462585,0.8976489,0.3288675,0.2543249,-0.3846358,0.8932276,0.09063616,0.214441,0.01658309,0.9106561,-0.1077633,0.3985193,0.8312399,0.5159753,-1.313149,-1.202409,1.401588,0.9532614,0.6531606,1.016854,0.7974663,0.124746,1.696006,1.14728,1.590649,0.2591127,0.4890454,0.2316497,1.323275,1.52995,0.4150748
2017-16-5--13-30-48,5,1.953697,1.443182,0.5514262,0.796515,0.5742072,0.5371489,1.006558,1.75589,1.273553,-0.1612527,0.8891678,0.3241414,0.2798403,-0.387277,0.8901379,0.07797187,0.227138,0.02104099,0.9016579,-0.1064149,0.4186243,0.8278723,0.5066451,-1.314787,-1.236464,1.379473,0.9888275,0.6096641,1.002739,0.7867935,0.117566,1.645478,1.110893,1.577814,0.2319481,0.5096712,0.2208857,1.295687,1.464285,0.4150748
2017-16-5--13-30-48,5,1.943866,1.483001,0.5336044,0.7997224,0.5783199,0.4937946,0.9726086,1.763452,1.243457,-0.1768102,0.8805661,0.3321363,0.2881445,-0.3870025,0.8867269,0.0688005,0.2433333,0.02612661,0.8935487,-0.09707256,0.4375674,0.8357197,0.480653,-1.317825,-1.246841,1.349413,0.9835735,0.5664046,0.9791959,0.7878696,0.1229642,1.595473,1.066898,1.562249,0.2009068,0.5364388,0.2203136,1.269066,1.393054,0.4150748
2017-16-5--13-30-48,5,1.939489,1.521603,0.5023997,0.7965596,0.593426,0.4613114,0.936071,1.766821,1.210362,-0.1743451,0.8773173,0.3291907,0.3025751,-0.397977,0.8740948,0.06901535,0.2698322,0.02061437,0.8874636,-0.08934526,0.4516646,0.8252682,0.4579337,-1.321083,-1.235799,1.332502,0.9531448,0.5270625,0.9687768,0.7906132,0.1324352,1.546891,1.032755,1.540628,0.1631632,0.5676105,0.2203432,1.230381,1.326041,0.4150748
2017-16-5--13-30-48,5,1.939234,1.560116,0.4686185,0.7902604,0.5895322,0.4248143,0.898192,1.769046,1.177335,-0.1476559,0.8819173,0.3333609,0.2988146,-0.3946358,0.8721374,0.06541603,0.2817089,0.01714889,0.8833891,-0.08589068,0.460383,0.8035077,0.4459088,-1.325014,-1.240742,1.31586,0.9299161,0.4892044,0.9470804,0.7875229,0.1316428,1.498718,0.9912153,1.52455,0.1328883,0.6085198,0.2122821,1.181766,1.264851,0.4150748
2017-16-5--13-30-48,5,1.958772,1.590617,0.4419935,0.776694,0.5866952,0.3867068,0.8636231,1.773367,1.143798,-0.1622679,0.8700443,0.3184893,0.3394948,-0.4013643,0.8691853,0.05750335,0.2830496,0.01896503,0.8792242,-0.07887137,0.4694513,0.7953725,0.4308857,-1.326524,-1.239678,1.294217,0.9090559,0.4584062,0.9267541,0.7867495,0.1384488,1.454449,0.9541211,1.504698,0.1097599,0.6518145,0.2116439,1.134327,1.214965,0.4150748
2017-16-5--13-30-48,5,1.981851,1.624376,0.4235313,0.7614671,0.5890908,0.3550732,0.831552,1.77851,1.11163,-0.1231531,0.8674611,0.3269897,0.3541503,-0.4095364,0.8635812,0.0558062,0.2887786,0.01996445,0.8734366,-0.07368108,0.480917,0.8236792,0.4146771,-1.325173,-1.239946,1.266619,0.8834466,0.4297282,0.9048373,0.7866912,0.1411017,1.411541,0.9204864,1.485929,0.08740458,0.6923596,0.2083498,1.094271,1.171983,0.4150748
2017-16-5--13-30-48,5,1.995192,1.658097,0.4022792,0.7429907,0.5889555,0.3246228,0.8030683,1.785756,1.083021,-0.1418162,0.8559744,0.3221735,0.3786823,-0.4119362,0.8625885,0.05236845,0.2889763,0.01667223,0.8679002,-0.0654773,0.4921221,0.8455564,0.4096565,-1.320682,-1.242274,1.245687,0.873617,0.4065243,0.8823118,0.7895471,0.1464858,1.374198,0.8880524,1.467212,0.06389642,0.7265525,0.2085881,1.05176,1.133885,0.4150748
2017-16-5--13-30-48,5,2.002006,1.688346,0.3750157,0.7241091,0.5895201,0.298364,0.7810858,1.792854,1.056725,-0.1111108,0.8637847,0.3211959,0.3719727,-0.4141023,0.8610414,0.05081099,0.2907668,0.01452585,0.8650866,-0.05759537,0.4980933,0.8871256,0.4023831,-1.310505,-1.242194,1.218344,0.8568792,0.392326,0.861532,0.7929654,0.1495356,1.341602,0.8639053,1.468877,0.0402368,0.7699624,0.2111884,1.015765,1.101195,0.4150748
2017-16-5--13-30-49,5,2.013956,1.722778,0.3602006,0.7069924,0.5878078,0.275707,0.7677373,1.800812,1.037996,-0.1392386,0.8536109,0.317212,0.3890217,-0.4103706,0.8640067,0.05052324,0.2872905,0.008192692,0.8641014,-0.04850287,0.5009083,0.9408461,0.3989451,-1.289332,-1.243207,1.188041,0.847824,0.3860108,0.8472695,0.7965028,0.1512505,1.31729,0.845641,1.467487,0.0215366,0.7976192,0.214578,0.9871484,1.075978,0.4150748
