DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--13-53-32,5,0.02000123,-0.1169706,-0.08055667,-0.3922182,-0.009374524,-0.2671469,-0.128451,0.5780343,-0.279886,-0.3182109,0.860849,-0.3954488,-0.03607063,0.3304733,0.816843,-0.2026396,0.4271911,0.1316365,0.8149807,-0.5635171,0.03044342,-0.02494582,-0.5648579,0.2292716,0.2698697,0.1866821,-0.003500667,-0.2663108,-0.293708,-0.127942,0.2676179,-0.05019838,0.1069109,-0.05388747,-0.3218659,-0.5139934,-0.5165051,-0.08684876,-0.1160394,0.9458642
2017-28-4--13-53-32,5,0.02591408,-0.1608166,-0.1129266,-0.5032616,0.205169,-0.3566519,-0.1279804,0.5909544,-0.269934,-0.2336567,0.8796477,-0.404639,-0.08883564,0.4319299,0.8572538,-0.0363859,0.2779001,0.0760124,0.8151153,-0.5668553,-0.09211106,0.04456661,-0.57787,0.2079397,0.3427322,0.1390416,0.04842217,-0.269343,-0.2104425,-0.1225106,0.2578313,-0.06302633,0.1268041,-0.1145489,-0.3388143,-0.5457836,-0.5068128,-0.099709,-0.1274951,0.9458642
2017-28-4--13-53-32,5,0.03465718,-0.1727045,-0.1159228,-0.5731701,0.4288099,-0.3157069,-0.1297877,0.6159337,-0.2638644,-0.2733654,0.8363075,-0.3571011,-0.313592,0.6034209,0.780714,0.0420621,0.1568428,0.01511525,0.8069894,-0.5353297,-0.2489217,0.1868902,-0.5200573,0.1967852,0.4544889,0.07045036,0.1327883,-0.2383058,-0.09058784,-0.1017901,0.2591815,-0.03373783,0.1281231,-0.1001745,-0.42288,-0.5430166,-0.3796294,-0.1036387,-0.1778127,0.9458642
2017-28-4--13-53-33,5,0.03827823,-0.1690576,-0.1449468,-0.5715248,0.569171,-0.2547392,-0.137889,0.6522861,-0.2390211,-0.2800603,0.8176779,-0.3254035,-0.3835123,0.7342523,0.6631204,0.09198834,0.1126194,-0.02287047,0.7982349,-0.4618848,-0.3859539,0.2437747,-0.4502319,0.2006898,0.5169595,0.0217257,0.1962984,-0.2240229,-0.0199694,-0.08272536,0.2523827,-0.03488738,0.1164529,-0.1070935,-0.4952135,-0.5429336,-0.2856903,-0.1117163,-0.1628614,0.9458642
2017-28-4--13-53-33,5,-0.007660419,-0.1504126,-0.2128425,-0.5163882,0.6397514,-0.232419,-0.1486677,0.6831564,-0.2200696,-0.2523803,0.8510746,-0.2467183,-0.3887239,0.7152694,0.6782436,0.1673034,0.01961641,-0.01528992,0.7910313,-0.3711614,-0.4860813,0.2507975,-0.402899,0.1783732,0.4888242,-0.005398412,0.2221176,-0.2285152,0.01204885,-0.08631639,0.2277638,-0.03847948,0.1001524,-0.1370311,-0.4994507,-0.5545886,-0.3405477,-0.1389192,-0.1046321,0.9458642
2017-28-4--13-53-33,5,-0.06806007,-0.05866797,-0.2963877,-0.5000069,0.5921623,-0.2064487,-0.1537711,0.7021388,-0.2011403,-0.2295029,0.8890234,-0.05735365,-0.3920157,0.7208912,0.6669727,0.1870364,0.02192339,-0.005431128,0.7865257,-0.3147275,-0.531314,0.2460042,-0.3817241,0.1678433,0.4476103,-0.02565672,0.2462772,-0.223937,0.005064868,-0.09693032,0.217688,-0.06056035,0.1056412,-0.1135404,-0.4769961,-0.560192,-0.4098137,-0.1654922,-0.1004188,0.9458642
2017-28-4--13-53-33,5,-0.05082243,0.02350058,-0.3619245,-0.5728624,0.5858166,-0.1890016,-0.17499,0.7081687,-0.1782688,-0.2187152,0.9289286,0.08667784,-0.285906,0.7225789,0.6609293,0.1982145,-0.04199279,-0.002211986,0.7919156,-0.264854,-0.5501975,0.2348774,-0.4048466,0.1548248,0.4035108,-0.004556194,0.2440939,-0.2554427,-0.02661874,-0.1055294,0.1950114,-0.06863197,0.1194284,-0.1350643,-0.5107775,-0.572628,-0.4497424,-0.190073,-0.05957751,0.9458642
2017-28-4--13-53-33,5,-0.08188429,0.01378729,-0.3730001,-0.6682135,0.6404566,-0.1520024,-0.2404519,0.6915885,-0.1501888,-0.2801284,0.9044588,0.1239447,-0.2968504,0.7440928,0.6220623,0.2175821,-0.1096466,-0.007407783,0.7859154,-0.2602459,-0.5608513,0.2036823,-0.4678439,0.1385949,0.3909865,-0.009762208,0.2565931,-0.3114401,-0.08417979,-0.1239597,0.1710939,-0.06211269,0.1335368,-0.1635161,-0.5660935,-0.5859116,-0.4768843,-0.2084508,-0.03622123,0.9458642
2017-28-4--13-53-34,5,-0.1784905,-0.01196814,-0.3422076,-0.785905,0.6410756,-0.1463923,-0.3620198,0.6609641,-0.1234601,-0.2805622,0.910261,0.1063501,-0.2853057,0.7385371,0.6171188,0.2368212,-0.1328272,-0.03456416,0.7883739,-0.2801239,-0.5466283,0.1025609,-0.5967216,0.1236223,0.3581685,0.01892713,0.2584389,-0.4019969,-0.1883927,-0.1544781,0.142492,-0.04463369,0.1580421,-0.2258978,-0.6503335,-0.6073675,-0.5083107,-0.2159791,-0.03743969,0.9458642
2017-28-4--13-53-34,5,-0.337363,-0.05436195,-0.264553,-0.9417278,0.6103268,-0.1306271,-0.5225553,0.6419544,-0.101142,-0.2596867,0.9051412,0.04369293,-0.3337264,0.7281636,0.6365429,0.2170514,-0.1322106,-0.06420545,0.7675547,-0.3025516,-0.5614268,-0.03459322,-0.7382921,0.1338301,0.3341164,0.05315612,0.2769307,-0.5190621,-0.3141094,-0.1754918,0.137995,-0.01221651,0.176506,-0.2983097,-0.771953,-0.6152859,-0.496046,-0.1915261,-0.05725252,0.9458642
