DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--11-23-47,5,-0.8193133,0.3227466,-0.5904607,-0.8564166,-0.1468654,0.1870907,-0.7014499,0.6012365,-0.2496945,0.4601997,0.6165141,0.1126971,-0.628829,-0.03266197,0.6137718,-0.5140319,-0.5983214,-0.1470674,0.7369975,-0.2865652,-0.5942107,-0.3756888,-0.4458467,0.1108153,0.07970262,-0.36582,0.08736874,-0.6276093,-0.3752012,0.06679296,0.2947503,-0.09105038,-0.1322696,-0.6780323,-0.5766672,-0.5375073,-0.5292827,-0.1660266,-0.05646313,1
2017-28-4--11-23-47,5,-0.8252588,0.3140502,-0.5597553,-1.029434,-0.03297174,0.1372353,-0.7184326,0.6055254,-0.2426471,0.4809568,0.6148925,0.1121644,-0.6148226,0.1486394,0.6956018,-0.4469724,-0.5424575,-0.1227817,0.7480584,-0.2939736,-0.5821623,-0.3868445,-0.5275647,0.09661531,0.09352815,-0.318289,0.1459001,-0.6375716,-0.4005617,0.06010818,0.2963587,-0.06859958,-0.08693012,-0.8451194,-0.5995328,-0.3830513,-0.5351305,-0.1290879,-0.04452141,1
2017-28-4--11-23-47,5,-0.8720199,0.3050721,-0.5225834,-1.056034,0.001621366,0.1441653,-0.7479222,0.6014889,-0.2355537,0.5080551,0.6019145,0.09722102,-0.6083806,0.1994226,0.7064058,-0.4310792,-0.5247784,-0.1176513,0.7551449,-0.3156343,-0.5623962,-0.4206145,-0.5535397,0.0806756,0.1138525,-0.2918432,0.1842598,-0.6429907,-0.4299478,0.05083668,0.3044126,-0.05471223,-0.04983013,-0.8575441,-0.607775,-0.2194846,-0.5364327,-0.2821326,-0.04741972,1
2017-28-4--11-23-47,5,-0.8948243,0.3111002,-0.4970721,-0.9962463,-0.07524025,0.2006668,-0.7754686,0.6013266,-0.2218003,0.4890479,0.5995633,0.1095002,-0.6239917,0.09350837,0.6955932,-0.5037704,-0.5036086,-0.1134784,0.7729645,-0.3237801,-0.5336806,-0.4460376,-0.5547713,0.07874441,0.1224402,-0.2733572,0.1937562,-0.6583956,-0.4618363,0.04585266,0.3075407,-0.04075071,-0.01963314,-0.7781998,-0.609883,-0.1665356,-0.5411589,-0.3924138,-0.02516729,1
2017-28-4--11-23-48,5,-0.8932404,0.3290946,-0.5065758,-0.9465007,-0.09619582,0.2595665,-0.7804443,0.6111016,-0.1969096,0.4999002,0.6204365,0.1184955,-0.5925514,0.02971383,0.6544017,-0.5272655,-0.5411715,-0.1099734,0.7851481,-0.3187658,-0.5194581,-0.4597676,-0.5363036,0.09231174,0.122929,-0.2526535,0.2052422,-0.6858574,-0.4770822,0.05454123,0.3074141,-0.04463946,-0.005472971,-0.7012467,-0.6057745,-0.2458588,-0.5421842,-0.4482568,-0.03432093,1
2017-28-4--11-23-48,5,-0.8438852,0.339803,-0.5271899,-0.9964287,-0.109044,0.2389376,-0.7785582,0.6142877,-0.1873446,0.4228277,0.6637934,0.1445132,-0.599759,0.04732025,0.6664277,-0.5189038,-0.5332672,-0.1057025,0.7939544,-0.3119121,-0.5110521,-0.4297031,-0.5565828,0.1174109,0.1051946,-0.2498189,0.2149464,-0.6924283,-0.4798105,0.05894589,0.3044646,-0.05633654,-0.004212056,-0.7903503,-0.608996,-0.4170619,-0.5441682,-0.2783359,-0.03330816,1
2017-28-4--11-23-48,5,-0.8018271,0.3391907,-0.5603807,-1.108249,-0.07286143,0.1184866,-0.7890818,0.6153499,-0.1965749,0.3921549,0.7098117,0.1406667,-0.5679743,0.1251976,0.7341587,-0.4284389,-0.5116412,-0.1064101,0.7963254,-0.3109699,-0.5077798,-0.3969803,-0.618101,0.1498795,0.07970619,-0.2447025,0.1946365,-0.6851592,-0.4830709,0.06242168,0.3110275,-0.06455766,-0.01089897,-0.8761235,-0.6092031,-0.322312,-0.5439068,-0.1546741,-0.03333504,1
2017-28-4--11-23-48,5,-0.8358799,0.3392254,-0.5524713,-1.120739,-0.06035733,0.05822597,-0.7977904,0.6061788,-0.2180427,0.4276264,0.6770459,0.1457007,-0.580961,0.1764686,0.7751305,-0.4183717,-0.4393138,-0.09897887,0.803009,-0.3293273,-0.4867475,-0.4090613,-0.6545343,0.1353351,0.09156692,-0.2545863,0.1992622,-0.6656525,-0.4972872,0.05664134,0.31497,-0.07817937,-0.0004774967,-0.861235,-0.6205674,-0.08366525,-0.5424184,-0.2735606,-0.0570252,1
2017-28-4--11-23-48,5,-0.882571,0.3209951,-0.5359353,-1.055161,-0.0828265,0.09892549,-0.803441,0.594587,-0.2384088,0.4394366,0.6468365,0.1243054,-0.6107751,0.1264005,0.761802,-0.4574122,-0.4409701,-0.1054587,0.8056058,-0.3519019,-0.4648041,-0.4336576,-0.6219338,0.1166723,0.1120018,-0.2763291,0.2007614,-0.6760938,-0.5048298,0.05049312,0.3158784,-0.06439984,-0.006901696,-0.7529923,-0.616243,-0.02418089,-0.5422868,-0.3964041,-0.0507803,1
2017-28-4--11-23-49,5,-0.8703339,0.3017277,-0.5359381,-0.9937002,-0.1147465,0.1516473,-0.7982306,0.5926455,-0.2560546,0.4488884,0.6525415,0.1144874,-0.599651,0.06777557,0.7237784,-0.5303058,-0.4362649,-0.1054028,0.8094203,-0.3553245,-0.4554926,-0.4386848,-0.5943643,0.09947598,0.1294791,-0.2692662,0.19529,-0.6782855,-0.5044101,0.04642725,0.3155957,-0.06823664,-0.01139018,-0.7448139,-0.6125543,-0.1471589,-0.5425972,-0.4093115,-0.05289913,1
