DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,BackX,FrontX,BackY,FrontY,BackZ,FrontZ,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,Scale
2017-16-5--13-08-42,5,0.2271471,0.4664516,0.6845827,0.2298749,0.4638057,-0.947013,0.08474944,0.7494452,-0.08279445,-0.4355104,0.4139943,-0.3494043,0.718927,0.4292505,0.7523792,0.3808621,0.3234405,0.07387356,0.6447687,-0.08253013,0.7563102,0.01536106,-0.05304778,-0.5382781,-0.5301408,-0.03031754,-0.3469135,-0.1433668,0.08979667,0.3753712,0.08107222,-0.1644635,-0.1541944,0.03382385,0.04811666,0.352944,0.3331443,0.2878405,-0.6093934,1
2017-16-5--13-08-42,5,0.2278876,0.4675859,0.6843191,0.228989,0.4661165,-0.9480425,0.08458661,0.7492554,-0.08255001,-0.4376954,0.412752,-0.3488346,0.7185911,0.4276827,0.7549594,0.3808692,0.3194723,0.07509705,0.6435856,-0.08305828,0.757139,0.01527217,-0.05269634,-0.5386652,-0.5300249,-0.03076383,-0.3474302,-0.1423056,0.09118038,0.3749823,0.0811209,-0.1642842,-0.1546922,0.03433022,0.04879181,0.3528765,0.3339664,0.2879945,-0.6099012,1
2017-16-5--13-08-42,5,0.228597,0.4682697,0.6843446,0.2281963,0.4670327,-0.9482788,0.08444224,0.748759,-0.08174796,-0.4365928,0.413028,-0.3495752,0.7187433,0.4307185,0.7527846,0.3822856,0.3188334,0.07755911,0.6419004,-0.08274993,0.7583541,0.01588205,-0.05170678,-0.5390623,-0.5299258,-0.03076661,-0.3475063,-0.1419114,0.0917226,0.3746015,0.08081391,-0.1642536,-0.1551123,0.03530456,0.04876896,0.352868,0.3341503,0.2880946,-0.6099487,1
2017-16-5--13-08-42,5,0.2291995,0.4698024,0.6837359,0.2272236,0.4680787,-0.9487924,0.08368756,0.7479484,-0.08113567,-0.4380174,0.4119097,-0.3473272,0.7196075,0.4283928,0.7542998,0.3819689,0.3187653,0.08117015,0.6401948,-0.08455959,0.7592179,0.01571416,-0.05168102,-0.5390964,-0.5297596,-0.0305563,-0.3473952,-0.1419819,0.09224721,0.3743145,0.08108052,-0.164266,-0.1549133,0.03535728,0.04805313,0.3534335,0.3349127,0.287888,-0.6104667,1
2017-16-5--13-08-42,5,0.2299339,0.4713314,0.6834149,0.2267457,0.4688998,-0.9487126,0.08286997,0.7479712,-0.08077142,-0.4405348,0.4115123,-0.3458541,0.7190074,0.4305043,0.7524805,0.3831229,0.3188353,0.08020368,0.6392052,-0.08372914,0.7602457,0.01622116,-0.05166711,-0.5391223,-0.5302777,-0.03100816,-0.3476821,-0.1423561,0.09248997,0.3736664,0.08077589,-0.1646519,-0.1553434,0.03601898,0.04791406,0.3535624,0.3350417,0.2876077,-0.6108215,1
2017-16-5--13-08-42,5,0.2297849,0.4727471,0.68261,0.226124,0.4709286,-0.949287,0.08138313,0.748104,-0.08133046,-0.4405684,0.4114561,-0.3452136,0.7193268,0.4276324,0.7547956,0.3839396,0.3162352,0.07967754,0.639084,-0.08385576,0.760389,0.01662189,-0.05204764,-0.5385212,-0.5303503,-0.03114097,-0.3480599,-0.1423563,0.09219534,0.3733594,0.08103431,-0.1647799,-0.1552634,0.03596189,0.04729457,0.3542491,0.3354421,0.287438,-0.6108376,1
2017-16-5--13-08-42,5,0.2297019,0.4734712,0.6828004,0.2265324,0.4701851,-0.9484173,0.08026788,0.7483042,-0.08177029,-0.4416886,0.4115607,-0.3451906,0.7185907,0.4283525,0.7536117,0.3838128,0.3182313,0.07849278,0.6392882,-0.08367686,0.7603602,0.01600438,-0.05210085,-0.5389013,-0.5304961,-0.03173859,-0.3484198,-0.1429225,0.09185096,0.3730752,0.08121134,-0.1649012,-0.1558693,0.03492235,0.0470219,0.3544765,0.3356055,0.2871309,-0.6112242,1
2017-16-5--13-08-42,5,0.2295181,0.4735512,0.682023,0.226646,0.4693733,-0.9484435,0.07921779,0.7483845,-0.08249323,-0.4407596,0.4124082,-0.3434255,0.7195203,0.4263618,0.7541533,0.3843509,0.3189719,0.07701943,0.6399203,-0.08428515,0.759912,0.01639581,-0.05275422,-0.538461,-0.5306001,-0.03117432,-0.3479573,-0.1437029,0.09127768,0.3732395,0.0810877,-0.1649625,-0.1555619,0.03475901,0.04688703,0.3546669,0.3352982,0.2872918,-0.6110387,1
2017-16-5--13-08-42,5,0.2288293,0.4743078,0.6820132,0.2261774,0.4687511,-0.9491729,0.07878042,0.7486441,-0.08317302,-0.4414733,0.4110651,-0.3454396,0.7188869,0.4280317,0.7540591,0.3830839,0.3184817,0.07588362,0.6401173,-0.08450841,0.7598354,0.01675795,-0.05248711,-0.5386722,-0.5309608,-0.03122401,-0.3480668,-0.1446559,0.09108482,0.3731973,0.0807355,-0.165247,-0.1556389,0.03486039,0.04699255,0.3545897,0.3345179,0.2865381,-0.6113724,1
2017-16-5--13-08-42,5,0.2282146,0.4751646,0.6819126,0.2251777,0.4690193,-0.9496238,0.07831457,0.7486205,-0.08358816,-0.4423882,0.4119399,-0.3466143,0.7172564,0.4271773,0.7545943,0.3834873,0.3178751,0.07567468,0.6398498,-0.08529638,0.7599935,0.01617914,-0.05389689,-0.5382687,-0.5312498,-0.03111182,-0.3482432,-0.1454945,0.08991207,0.3733664,0.08105128,-0.1653538,-0.1556234,0.0336016,0.04651915,0.3553329,0.3345231,0.2867768,-0.6114244,1
