DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--11-25-32,5,-0.7303391,0.01730514,-0.899599,-0.9933849,0.06657624,-0.6671067,-0.5293124,0.6442662,-0.4745285,-0.03716347,0.941537,0.0429199,-0.3320917,0.1749546,0.9375878,0.07409659,-0.2912553,0.03385236,0.9201404,-0.2024148,-0.3335027,-0.3774121,-0.6506477,0.125061,0.1250327,-0.5150038,-0.2670411,-0.5056991,-0.3351799,0.08255005,0.3039925,-0.3846408,-0.2239062,-0.3267563,-0.4758945,-0.5320784,-0.5326647,-0.4142997,-0.2800944,1
2017-28-4--11-25-32,5,-0.6245872,-0.1147667,-0.6806868,-0.807762,-0.09758949,-0.5179398,-0.520922,0.6509503,-0.4790342,-0.2189349,0.4670666,-0.673898,-0.5289403,-0.1830616,0.7027406,-0.6740896,0.1350825,0.04661269,0.9405141,-0.1769557,-0.2862641,-0.3856106,-0.6828566,0.1404234,0.1467638,-0.5374328,-0.2849986,-0.5036749,-0.3383601,0.08167756,0.3044498,-0.3850159,-0.2226057,-0.325128,-0.4755749,-0.5320261,-0.5328761,-0.4133179,-0.2809657,1
2017-28-4--11-25-32,5,-0.6765739,-0.1452579,-0.765947,-0.8798097,-0.1139723,-0.6602253,-0.5096036,0.6581274,-0.4767319,-0.1552597,0.713553,-0.4971403,-0.4686024,-0.03825311,0.919802,-0.3886875,-0.03772427,0.05139511,0.9601588,-0.1375324,-0.2377784,-0.3712962,-0.6698295,0.1247218,0.1332974,-0.5141814,-0.2791943,-0.5013137,-0.3426235,0.08124852,0.3055036,-0.3867758,-0.2210427,-0.3240286,-0.4763757,-0.5317414,-0.5330559,-0.4129479,-0.2823549,1
2017-28-4--11-25-33,5,-0.6805493,0.1554633,-0.9071027,-0.9491603,0.2211337,-0.6699392,-0.503386,0.66685,-0.4755024,0.02411522,0.9180262,0.339993,-0.2026106,0.3195309,0.7835674,0.3909447,-0.3620558,0.05741011,0.9760717,-0.09678233,-0.1860682,-0.3535138,-0.6732534,0.1234574,0.1328557,-0.5162154,-0.2742055,-0.4981578,-0.3474236,0.07919824,0.3068495,-0.383533,-0.2176358,-0.3213174,-0.4732755,-0.5316476,-0.5331745,-0.4107205,-0.279076,1
2017-28-4--11-25-33,5,-0.6874675,0.2209386,-0.9047217,-0.9259465,0.2279999,-0.693791,-0.495931,0.6721303,-0.4699351,0.03843929,0.8685495,0.4521297,-0.1993064,0.3585064,0.7893166,0.4229138,-0.2638112,0.05460192,0.9847028,-0.06423034,-0.1524906,-0.3587849,-0.6905098,0.1275699,0.140115,-0.5177616,-0.2721715,-0.4989542,-0.3488313,0.07927239,0.3072215,-0.3842103,-0.2162869,-0.3219918,-0.4747659,-0.5315139,-0.5332006,-0.4107124,-0.2792182,1
2017-28-4--11-25-33,5,-0.7286529,0.05468178,-0.9384957,-0.9875226,0.07457674,-0.7357997,-0.491667,0.6779315,-0.4661253,-0.01837406,0.9418875,-0.006498041,-0.3353626,0.158713,0.9529944,0.02679065,-0.2566985,0.06913884,0.9866492,-0.03429056,-0.1434132,-0.3643893,-0.6982931,0.1272142,0.1459786,-0.5189167,-0.2806021,-0.5012133,-0.3521268,0.07912004,0.3067195,-0.3848204,-0.2168948,-0.3232215,-0.4759476,-0.5317701,-0.5334394,-0.4103761,-0.2797228,1
2017-28-4--11-25-33,5,-0.6230693,-0.1194614,-0.7208596,-0.8340367,-0.1028649,-0.561446,-0.4912477,0.6808566,-0.4651684,-0.182471,0.5348744,-0.6734861,-0.4764769,-0.1652945,0.7338105,-0.653372,0.08546844,0.08078805,0.9858323,-0.01984384,-0.1456512,-0.3806701,-0.7231911,0.1378633,0.1636683,-0.540517,-0.2931124,-0.5001491,-0.3543761,0.07445478,0.3066239,-0.3879742,-0.2212398,-0.3252998,-0.4775085,-0.532434,-0.5336339,-0.4113808,-0.2812384,1
2017-28-4--11-25-33,5,-0.6805284,-0.135159,-0.8097852,-0.9600858,-0.08662939,-0.6810344,-0.491676,0.6822855,-0.4646935,-0.1550075,0.7471889,-0.4855665,-0.4265052,-0.01478781,0.9146756,-0.3464823,-0.2076052,0.08265345,0.985122,-0.004633915,-0.1506042,-0.3798549,-0.6952258,0.1242868,0.1403817,-0.5252456,-0.2836199,-0.5014469,-0.3533677,0.07366943,0.3073258,-0.3906539,-0.2259493,-0.3272955,-0.4797333,-0.5323944,-0.5335782,-0.4135709,-0.2837588,1
2017-28-4--11-25-34,5,-0.7059097,0.1681361,-0.9101024,-0.9473549,0.2298317,-0.6745002,-0.491897,0.6837791,-0.4658402,0.005234146,0.9049202,0.3633824,-0.2214619,0.3367522,0.7805552,0.4275103,-0.3075166,0.08015933,0.9866136,0.0006256634,-0.1420136,-0.3670959,-0.682846,0.1241237,0.1343353,-0.5248575,-0.2784254,-0.5036184,-0.3525033,0.07331908,0.3083451,-0.3893847,-0.228163,-0.3262543,-0.4771703,-0.5325671,-0.5337603,-0.4134768,-0.2811606,1
2017-28-4--11-25-34,5,-0.7263212,0.2147168,-0.9053418,-0.9564135,0.2119141,-0.6997176,-0.4903914,0.6825761,-0.4641941,0.04438715,0.8660721,0.4279313,-0.2546048,0.3143951,0.8280402,0.3742765,-0.2746311,0.0745014,0.9866352,-0.0006463379,-0.1449143,-0.3778569,-0.6909539,0.1269275,0.1372952,-0.5273334,-0.2845187,-0.5048691,-0.3494017,0.0753212,0.3066766,-0.3930618,-0.2281334,-0.3271371,-0.4786628,-0.5325321,-0.5339086,-0.4157206,-0.2838732,1
2017-28-4--11-25-34,5,-0.7503621,0.002732277,-0.9187422,-1.007662,0.008337259,-0.7102274,-0.4928302,0.6833283,-0.4638699,-0.02611703,0.9108337,-0.1617675,-0.3788551,0.02721612,0.9429361,-0.1080813,-0.3137663,0.08005647,0.9836122,0.004362953,-0.1614895,-0.3772146,-0.6891768,0.1269559,0.1368612,-0.5281234,-0.2852635,-0.5057499,-0.3490134,0.07651365,0.3071702,-0.3946365,-0.2296512,-0.3267362,-0.4783635,-0.5327762,-0.534148,-0.4162967,-0.2851244,1
2017-28-4--11-25-34,5,-0.6681217,-0.1389997,-0.7581908,-0.8474494,-0.1452738,-0.5791748,-0.4991476,0.6867024,-0.4645359,-0.1723933,0.6308376,-0.5905507,-0.4728365,-0.1606692,0.7835878,-0.6000906,-0.00817316,0.09092095,0.9742731,0.01952289,-0.2052905,-0.3797861,-0.7040998,0.1316351,0.1445333,-0.5429456,-0.2902605,-0.5070829,-0.3506595,0.07754624,0.3107822,-0.3966254,-0.2341643,-0.3273216,-0.4792765,-0.532756,-0.5339309,-0.4170158,-0.2870667,1
2017-28-4--11-25-34,5,-0.75945,-0.03476238,-0.9006703,-1.021366,0.01523137,-0.704632,-0.5044075,0.6883615,-0.4598739,-0.116105,0.8699831,-0.1939397,-0.4382195,0.1228057,0.9377826,-0.1267923,-0.2990089,0.09219982,0.9635777,0.02235148,-0.250035,-0.3822422,-0.6773013,0.1284112,0.1279989,-0.5364221,-0.2883676,-0.5085514,-0.3485028,0.07801211,0.3110821,-0.392762,-0.2344259,-0.3282152,-0.4793732,-0.5327873,-0.533538,-0.4155054,-0.2844657,1
2017-28-4--11-25-35,5,-0.7237042,0.2818074,-0.8684486,-0.9586848,0.2918828,-0.6733696,-0.5076129,0.6895074,-0.4544,0.08778258,0.7696914,0.5962045,-0.2107356,0.375438,0.7428276,0.4761572,-0.2837742,0.09786546,0.954608,0.02851516,-0.27988,-0.3818997,-0.6890725,0.1313945,0.1336194,-0.5394974,-0.2775124,-0.5101922,-0.346311,0.07739973,0.310154,-0.3931617,-0.235375,-0.3276376,-0.4787085,-0.5331088,-0.5339712,-0.4155169,-0.2827359,1
2017-28-4--11-25-35,5,-0.7407156,0.3069016,-0.8757955,-0.9636223,0.3209248,-0.6596345,-0.507147,0.6890531,-0.4473056,0.1164915,0.7908453,0.5643801,-0.2060796,0.3580819,0.7085891,0.5126643,-0.3268855,0.09876265,0.9465491,0.02858065,-0.305735,-0.3965004,-0.6893229,0.1336741,0.1346592,-0.5419101,-0.2813144,-0.5102597,-0.3423827,0.07762706,0.3073817,-0.3947705,-0.2343763,-0.3292694,-0.4811465,-0.5333958,-0.5340118,-0.4172095,-0.2853644,1
2017-28-4--11-25-35,5,-0.7760394,0.2280445,-0.9068822,-1.002292,0.233078,-0.6879254,-0.5117208,0.6878577,-0.4522223,0.09881404,0.8591657,0.3885294,-0.317986,0.3014556,0.8197872,0.3750837,-0.3104604,0.09540043,0.9451028,0.016318,-0.3121111,-0.397522,-0.6922702,0.1315244,0.1364031,-0.5357174,-0.2786034,-0.5075057,-0.3429471,0.07541454,0.3091924,-0.3937427,-0.23676,-0.3288325,-0.4806894,-0.5332584,-0.5339668,-0.4174326,-0.2853386,1
2017-28-4--11-25-35,5,-0.6826004,-0.1123903,-0.7614105,-0.8800285,-0.1228559,-0.5588481,-0.5247411,0.6755568,-0.4645836,-0.1905561,0.6088988,-0.6209494,-0.4553595,-0.2007433,0.7439674,-0.6354892,-0.04866445,0.06452307,0.9463499,-0.06426073,-0.3100472,-0.4209219,-0.712727,0.149828,0.1530015,-0.5555217,-0.2976749,-0.5040408,-0.3472851,0.07610345,0.3109896,-0.3911308,-0.2325485,-0.3269697,-0.480019,-0.5324453,-0.5333732,-0.4148771,-0.2854454,1
2017-28-4--11-25-35,5,-0.6782202,-0.1397765,-0.7609509,-0.8734458,-0.1615926,-0.5722324,-0.5397757,0.6669227,-0.4785295,-0.1734775,0.6481279,-0.6052424,-0.4283893,-0.1677741,0.7843273,-0.5900304,-0.09244757,0.04528537,0.9424652,-0.113993,-0.310989,-0.4075658,-0.682702,0.1356412,0.1272283,-0.5331525,-0.2822093,-0.5030734,-0.3552417,0.07480776,0.3158172,-0.3867798,-0.2341188,-0.3252532,-0.4781824,-0.5321939,-0.5326407,-0.4118758,-0.2841474,1
2017-28-4--11-25-36,5,-0.7898189,-0.02908266,-0.8939922,-1.010553,-0.02688527,-0.7008888,-0.5310952,0.6679815,-0.4683106,-0.08572092,0.8424485,-0.300159,-0.4391322,0.07416542,0.9321674,-0.2653783,-0.2348147,0.04836133,0.9396904,-0.109751,-0.3203089,-0.4103286,-0.6941403,0.1399689,0.135368,-0.5513721,-0.2899303,-0.504949,-0.3563684,0.07648373,0.3122344,-0.3839663,-0.2305094,-0.3260453,-0.4778011,-0.532495,-0.5326654,-0.4104956,-0.2819088,1
2017-28-4--11-25-36,5,-0.8166417,0.3490624,-0.9311032,-1.007377,0.3304638,-0.7666204,-0.5288506,0.6644787,-0.4630071,0.1031163,0.8618541,0.3449658,-0.3571738,0.29965,0.9068149,0.1676698,-0.2445066,0.05057476,0.9407998,-0.1240065,-0.3113844,-0.4103374,-0.6985739,0.1523913,0.1373259,-0.5579396,-0.2773485,-0.5049859,-0.3557427,0.07818758,0.3048961,-0.3871576,-0.2264352,-0.3280851,-0.4808379,-0.532514,-0.5332681,-0.4143415,-0.2848767,1
2017-28-4--11-25-36,5,-0.6850625,0.4978743,-0.7785136,-0.888104,0.5056005,-0.5942199,-0.533838,0.6625198,-0.4611942,0.2261741,0.5119377,0.8184552,-0.1299848,0.3965693,0.4928929,0.7258682,-0.2700087,0.04877844,0.9376131,-0.1326836,-0.3176435,-0.423834,-0.7078446,0.1588839,0.1494335,-0.5523935,-0.2883463,-0.5095947,-0.3575912,0.07879579,0.3031387,-0.3893169,-0.2275276,-0.3285675,-0.4808626,-0.532773,-0.5335629,-0.4165886,-0.2858853,1
2017-28-4--11-25-36,5,-0.6992649,0.4776053,-0.7899848,-0.9182292,0.4692631,-0.609694,-0.536868,0.6611719,-0.459711,0.2269834,0.557644,0.7851042,-0.1453384,0.3678148,0.543911,0.688346,-0.3083062,0.04108469,0.9354708,-0.1399173,-0.3219157,-0.4239351,-0.696303,0.1537377,0.137979,-0.5425653,-0.2864356,-0.5096353,-0.3572598,0.07969522,0.3034434,-0.3891379,-0.2256895,-0.3283476,-0.4808995,-0.5324061,-0.5332818,-0.4156055,-0.2856205,1
2017-28-4--11-25-36,5,-0.815603,0.2970595,-0.8922804,-1.023156,0.2853922,-0.7109078,-0.5350349,0.6610512,-0.4580004,0.04213206,0.7889522,0.4478521,-0.4185784,0.2757221,0.8377598,0.3489058,-0.3168604,0.04295174,0.9361513,-0.143159,-0.3182474,-0.4200087,-0.6952877,0.1529199,0.1384087,-0.5374398,-0.285083,-0.5077792,-0.3547537,0.08260059,0.3049395,-0.38075,-0.2200978,-0.3276913,-0.4797762,-0.5319977,-0.5327085,-0.4132735,-0.282906,1
2017-28-4--11-25-37,5,-0.6639007,-0.1001612,-0.7453295,-0.8636462,-0.1151245,-0.5640336,-0.5324512,0.6611325,-0.4626373,-0.2924429,0.5396716,-0.5896685,-0.5249027,-0.1489384,0.7779937,-0.6078491,0.05534035,0.0556041,0.9403484,-0.1499366,-0.3002866,-0.4275179,-0.7015369,0.153129,0.1472162,-0.5352963,-0.293842,-0.5017566,-0.3568951,0.08005536,0.3075683,-0.3762944,-0.2173976,-0.3255623,-0.4789307,-0.5316312,-0.5323867,-0.4101956,-0.2806723,1
2017-28-4--11-25-37,5,-0.6140866,-0.1481816,-0.6770922,-0.8084308,-0.1582836,-0.5169721,-0.5378794,0.6568109,-0.4706618,-0.2151418,0.4978156,-0.6977867,-0.4679607,-0.2348901,0.7120429,-0.6606545,0.03684058,0.05095233,0.9391983,-0.1667251,-0.2958262,-0.4000682,-0.6827366,0.1318425,0.1262577,-0.5140307,-0.2704387,-0.4988441,-0.3629895,0.07725322,0.3113143,-0.3755112,-0.2180493,-0.3255204,-0.4808377,-0.5316163,-0.5322366,-0.4098328,-0.2821504,1
